Player	Nationality	Position	Years for Grizzlies	School/Club Team
Michael Batiste Category:Articles with hCards	United States	Power forward	2002-2003	Arizona State
Shane Battier Category:Articles with hCards	United States	Small forward	2000-2006; 2011-2011	Duke
Jerryd Bayless Category:Articles with hCards	United States	Point guard	2012–Present	Arizona
Troy Bell Category:Articles with hCards	United States	Point guard	2003-2004	Boston College
Benoit Benjamin Category:Articles with hCards	United States	Center	1995	Creighton
Mike Bibby Category:Articles with hCards	United States	Point guard	1998-2001	Arizona
Ronnie Brewer Category:Articles with hCards	United States	Guard-Forward	2010	Arkansas
Andre Brown Category:Articles with hCards	United States	Power forward	2007-2008	DePaul
Kwame Brown Category:Articles with hCards	United States	Center	2008	Glynn Academy HS
Greg Buckner Category:Articles with hCards	United States	Shooting guard	2008-2009	Clemson
Rodney Buford Category:Articles with hCards	United States	Shooting guard	2001-2002	Creighton
Antonio Burks Category:Articles with hCards	United States	Point guard	2004-2006	Memphis
