Name	Architecture	USB support	LFN support	APIs
Windows NT 3.1	32-bit	No	Yes ( NTFS and HPFS volumes only)	Win32, OS/2 , POSIX
Windows NT 3.5	32-bit	No	Yes (except on CDFS volumes)	Win32, OS/2, POSIX
Windows NT 3.51	32-bit	No	Yes (except on CDFS volumes)	Win32, OS/2, POSIX
Windows NT 4.0	32-bit	Yes (if the Ion USB update is installed)	Yes	Win32, OS/2, POSIX
Windows 2000	32/64-bit	Yes (USB 2.0 with update or SP4)	Yes	Win32, OS/2, POSIX
Windows XP	32/64-bit	Yes (USB 2.0 with update or SP1+)	Yes	Win32, .NET
Windows Server 2003	32/64-bit	Yes (USB 2.0)	Yes	Win32
Windows Fundamentals for Legacy PCs	32-bit	Yes	Yes	Win32
Windows Vista	32/64-bit	Yes (USB 2.0)	Yes	Win32, .NET , POSIX (only Enterprise and Ultimate)
Windows Server 2008	32/64-bit	Yes (USB 2.0)	Yes	Win32
Windows Home Server	32-bit	Yes (USB 2.0)	Yes	Win32
Windows 7	32/64-bit	Yes (USB 2.0)	Yes	Win32, .NET
Windows Server 2008 R2	64-bit	Yes (USB 2.0)	Yes	Win32, .NET
Windows Home Server 2011	64-bit	Yes (USB 2.0)	Yes	Win32
Windows Server 2012	64-bit	Yes (USB 3.0)	Yes	Win32, .NET , WinRT
Windows 8	32/64-bit	Yes (USB 3.0)	Yes	Win32, .NET , WinRT
