Rd.	Grand Prix	Pole Position	Fastest Lap	Winning Driver	Constructor	Report
1	Australian Grand Prix	Michael Schumacher	Kimi Räikkönen	David Coulthard	McLaren - Mercedes	Report
2	Malaysian Grand Prix	Fernando Alonso	Michael Schumacher	Kimi Räikkönen	McLaren - Mercedes	Report
3	Brazilian Grand Prix	Rubens Barrichello	Rubens Barrichello	Giancarlo Fisichella	Jordan - Ford	Report
4	San Marino Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
5	Spanish Grand Prix	Michael Schumacher	Rubens Barrichello	Michael Schumacher	Ferrari	Report
6	Austrian Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
7	Monaco Grand Prix	Ralf Schumacher	Kimi Räikkönen	Juan Pablo Montoya	Williams - BMW	Report
8	Canadian Grand Prix	Ralf Schumacher	Fernando Alonso	Michael Schumacher	Ferrari	Report
9	European Grand Prix	Kimi Räikkönen	Kimi Räikkönen	Ralf Schumacher	Williams - BMW	Report
10	French Grand Prix	Ralf Schumacher	Juan Pablo Montoya	Ralf Schumacher	Williams - BMW	Report
11	British Grand Prix	Rubens Barrichello	Rubens Barrichello	Rubens Barrichello	Ferrari	Report
12	German Grand Prix	Juan Pablo Montoya	Juan Pablo Montoya	Juan Pablo Montoya	Williams - BMW	Report
13	Hungarian Grand Prix	Fernando Alonso	Juan Pablo Montoya	Fernando Alonso	Renault	Report
14	Italian Grand Prix	Michael Schumacher	Michael Schumacher	Michael Schumacher	Ferrari	Report
15	United States Grand Prix	Kimi Räikkönen	Michael Schumacher	Michael Schumacher	Ferrari	Report
