No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (million)
25	1	"Game On"	Steve Buscemi	Liz Brixius & Linda Wallem	March28,2011	0.61
26	2	"Enough Rope"	Steve Buscemi	Liz Brixius	April4,2011	0.49
27	3	"Play Me"	Michael Lehmann	Linda Wallem	April11,2011	0.57
28	4	"Mitten"	Michael Lehmann	Liz Flahive	April18,2011	0.60
29	5	"Rat Falls"	Tristram Shapeero	Alison McDonald	April25,2011	0.65
30	6	"When the Saints Go"	Tristram Shapeero	Liz Brixius	May2,2011	0.53
31	7	"Orchids and Salami"	Bob Balaban	Ellen Fairey	May9,2011	0.47
32	8	"The Astonishing"	Bob Balaban	Rajiv Joseph	May16,2011	0.43
33	9	"Have You Met Ms. Jones?"	Daisy von Scherler Mayer	Liz Brixius & Wyndham Lewis	May23,2011	0.60
34	10	"Fuck the Lemurs"	Daisy von Scherler Mayer	Liz Brixius	June6,2011	0.56
35	11	"Batting Practice"	Linda Wallem	Liz Flahive	June13,2011	0.58
