Track	City	State	Opened	Major Series	Turns
Baltimore	Baltimore	Maryland	2011	IndyCar , ALMS	15
Bayfront Park	Miami	Florida	1983, 2002	IMSA GT , CART , ALMS	15 11 10
Bicentennial Park	Miami	Florida	1986, 1995	IMSA GT , CART	11
Belle Isle	Detroit	Michigan	1992	CART , IRL , ALMS	14
Caesars Palace	Las Vegas	Nevada	1981	F1 , CART	14 5
Cleveland	Cleveland	Ohio	1982	CART	11 9
Columbus	Columbus	Ohio	1985	IMSA GT	9
Dallas	Dallas	Texas	1984	F1 , Trans-Am , IMSA GT	15 9 12 10
Daytona Beach	Daytona Beach	Florida	1903	NASCAR	4
Denver	Denver	Colorado	1990, 2002	CART	16 11
Del Mar	Del Mar	California	1987	IMSA GT	17
Des Moines	Des Moines	Iowa	1989	Trans-Am	12
Detroit	Detroit	Michigan	1982	F1 , CART	18
Houston	Houston	Texas	1998	CART	9
Las Vegas	Las Vegas	Nevada	2007	Champ Car	12
Long Beach	Long Beach	California	1975	F1 , IndyCar Series , ALMS	12 15 15 12 9 12 10
Meadowlands	East Rutherford	New Jersey	1984	CART	14 5
Minnesota	Minneapolis	Minnesota	1996	Trans-Am , USRRC	13
New Orleans	New Orleans	Louisiana	1991	IMSA GT	10 10
Phoenix	Phoenix	Arizona	1989	F1	13 12
Reliant Park	Houston	Texas	2006	ALMS , Champ Car	9
Robert F. Kennedy Stadium	Washington	D.C.	2002	ALMS	7
St. Petersburg	St. Petersburg	Florida	1985, 2003	IndyCar Series	8 8 12
San Antonio	San Antonio	Texas	1987	IMSA GT	9
San Jose	San Jose	California	2005	Champ Car	7
Tamiami Park	University Park	Florida	1985	CART	10
Tampa	Tampa	Florida	1989	CART	10
West Michigan	Grand Rapids	Michigan	1998	Trans-Am	13
West Palm Beach	West Palm Beach	Florida	1986	IMSA GT	10
