Number	Name	Team	Position	Years with franchise	Year retired
6	Jojo Lastimosa Category:Articles with hCards	Alaska Aces	G	1991-99, 2002-03	2003
14	Johnny Abarrientos Category:Articles with hCards	Alaska Aces	G	1993-2000	2011
16	Bong Hawkins Category:Articles with hCards	Alaska Aces	F	1993-2000, 2005-06	2011
20	Sean Chambers Category:Articles with hCards	Alaska Aces	G	1989-2001	2001
33	Bogs Adornado Category:Articles with hCards	Alaska Aces	F	1987	1988
7	Robert Jaworski Category:Articles with hCards	Barangay Ginebra Kings	G	1984-98	2012
8	Allan Caidic Category:Articles with hCards	Barangay Ginebra Kings	G	1998-99	2000
19	Kenneth Duremdes Category:Articles with hCards	Powerade Tigers	G	2007-08	2012
22	Jeffrey Cariaso Category:Articles with hCards	Powerade Tigers	G	2002-04	2010
17	Olsen Racela Category:Articles with hCards	Petron Blaze Boosters	G	1997-2011	2011
19	Ramon Fernandez Category:Articles with hCards	Petron Blaze Boosters	C	1988-94	1995
8	Allan Caidic Category:Articles with hCards	Petron Blaze Boosters	G	1993-98	2000
9	Samboy Lim Category:Articles with hCards	Petron Blaze Boosters	G	1987-97	n/a
12	Yves Dignadice Category:Articles with hCards	Petron Blaze Boosters	F	1987-97	n/a
14	Hector Calma Category:Articles with hCards	Petron Blaze Boosters	G	1986-94	n/a
16	Alvin Patrimonio Category:Articles with hCards	San Mig Coffee Mixers	F	1988-2004	2004
44	Jerry Codiñera Category:Articles with hCards	San Mig Coffee Mixers	C	1988-99	2004
14	Benjie Paras Category:Articles with hCards	Shell Turbo Chargers	C	1989-2001	2001
