Heat	Lane	Name	Nationality	Time
6	4	Lenny Krayzelburg	United States	1:58.40
5	4	Aaron Peirsol	United States	1:59.10
6	6	Cameron Delaney	Australia	1:59.61
6	5	Matt Welsh	Australia	1:59.76
4	1	Răzvan Florea	Romania	1:59.79
4	8	Örn Arnarson	Iceland	1:59.80
5	6	Emanuele Merisi	Italy	1:59.92
6	2	Sergey Ostapchuk	Russia	2:00.17
4	4	Gordan Kožulj	Croatia	2:00.19
5	5	Rogério Romero	Brazil	2:00.48
4	6	Chris Renaud	Canada	2:00.51
5	7	Marko Strahija	Croatia	2:00.72
5	2	Yoav Gath	Israel	2:00.80
3	2	Klaas-Erik Zwering	Netherlands	2:00.94
4	3	Volodymyr Nikolaychuk	Ukraine	2:01.07
4	5	Leonardo Costa	Brazil	2:01.08
5	3	Simon Dufour	France	2:01.09
6	7	Adam Ruckwood	Great Britain	2:01.11
6	1	Simon Militis	Great Britain	2:01.20
6	8	Dustin Hersee	Canada	2:01.34
6	3	Ralf Braun	Germany	2:01.35
3	5	Scott Talbot-Cameron	New Zealand	2:01.53
3	7	Blaž Medvešek	Slovenia	2:01.67
2	2	Neisser Bent	Cuba	2:02.05
5	1	Mirko Mazzari	Italy	2:02.13
4	7	Fu Yong	China	2:02.70
3	4	Markus Rogan	Austria	2:02.84
3	3	Alejandro Bermúdez	Colombia	2:03.43
5	8	Guillermo Mediano	Spain	2:03.45
2	4	Mario Carvalho	Portugal	2:03.82
3	6	Miroslav Machovič	Slovakia	2:04.73
3	8	Arūnas Savickas	Lithuania	2:05.06
1	3	Alex Fong	Hong Kong	2:05.47
2	6	Eduardo Germán Otero	Argentina	2:05.51
2	7	Torwai Sethsothorn	Thailand	2:05.52
2	3	Ahmed Hussein	Egypt	2:06.10
2	8	Gary Tan	Singapore	2:06.32
1	4	Andrei Mihailov	Moldova	2:06.67
2	1	Lee Jong-Min	South Korea	2:07.14
1	5	Ivan Angelov	Bulgaria	2:07.30
1	7	Guillermo Cabrera	Dominican Republic	2:08.22
3	1	Alex Lim Keng Liat	Malaysia	2:08.23
1	6	Miloš Cerović	Yugoslavia	2:09.07
1	2	Aleksandr Yegorov	Kyrgyzstan	2:13.85
4	2	Viktor Bodrogi	Hungary	DSQ
2	5	Simon Thirsk	South Africa	DNS
