Club	Visa 1	Visa 2	Visa 3	Visa 4	Visa 5
Adelaide United	Jerónimo Neumann	Marcelo Carrusca	Fábio Ferreira	Isaías	Cirio
Brisbane Roar	Besart Berisha	Henrique	Thomas Broich	Liam Miller	None
Central Coast Mariners	Michael McGlinchey	Nick Montgomery	Marcos Flores	Marcel Seip	None
Melbourne Heart	Jonatan Germano	Patrick Gerhardt	Orlando Engelaar	Rob Wielaert	Michael Mifsud
Melbourne Victory	Gui Finkler	Jonathan Bru	Kosta Barbarouses	Pablo Contreras	Adama Traore
Newcastle Jets	Emile Heskey	Michael Bridges	Kew Jaliens	None	None
Perth Glory	Steven McGarry	Ryo Nagai	Sidnei	William Gallas	None
Sydney FC	Alessandro Del Piero	None	Tiago	Yairo Yau	Nikola Petković
Wellington Phoenix	Paul Ifill	Stein Huysegems	Carlos Hernandez	Kenny Cunningham	Albert Riera
Western Sydney Wanderers	Mateo Poljak	Jérome Polenz	Iacopo La Rocca	Youssouf Hersi	Shinji Ono
