Year	Population (Region total)	Population (Mareeba)	Population (Atherton)	Population (Herberton)	Population (Eacham)
1933	19386	8248	3962	2852	4324
1947	17585	6312	4335	3198	3740
1954	20917	7595	5401	4150	3771
1961	23675	10212	5806	3815	3842
1966	23332	10789	5311	3634	3598
1971	24367	11676	5638	3726	3327
1976	25488	12136	6240	3679	3433
1981	29329	14003	7501	3688	4137
1986	33426	15563	8518	4210	5135
1991	36816	17129	9518	4560	5609
1996	39350	18044	10119	5113	6074
2001	39629	17961	10509	5083	6076
