Game #	Date	Visitor	Score	Home	Decision	Attendance	Record	Points
54	February 2	Ottawa	2–4	Toronto	Toskala	19,543	21–24–9	51
55	February 5	Florida	8–0	Toronto	Toskala	19,430	21–25–9	51
56	February 7	Toronto	4–2	Montreal	Toskala	21,273	22–25–9	53
57	February 9	Detroit	2–3	Toronto	Toskala	19,510	23–25–9	55
58	February 13	Toronto	0–1	Buffalo	Toskala	18,690	23–26–9	55
59	February 14	NY Islanders	5–4	Toronto	Toskala	19,227	23–27–9	55
60	February 16	Boston	3–4	Toronto	Toskala	19,481	24–27–9	57
61	February 19	Columbus	1–3	Toronto	Toskala	19,347	25–27–9	59
62	February 21	Buffalo	5–1	Toronto	Toskala	19,467	25–28–9	59
63	February 23	Atlanta	1–3	Toronto	Toskala	19,390	26–28–9	61
64	February 25	Toronto	5–0	Ottawa	Toskala	19,861	27–28–9	63
65	February 27	Toronto	4–3	Florida	Toskala	14,557	28–28–9	65
66	February 29	Toronto	2–3	Tampa Bay	Toskala	20,641	28–28–10	66
