Episode Number	Broadcast Date	Title	Written by	Viewership (Millions)
9 – 2.1	31 August 2001	"All Roads Lead To Ramon"	James Hendrie & Ian Brown	8.95
10 – 2.2	7 September 2001	"The Unkindest Cut"	Steve Armogida & Jim Armogida	9.04
11 – 2.3	14 September 2001	"Parisian Beauty"	Anrdea Solomons	8.24
12 – 2.4	21 September 2001	"Trust Never Sleeps"	James Hendrie & Ian Brown	9.55
13 – 2.5	28 September 2001	"Death And Ben Take A Holiday"	Fred Barron	9.65
14 – 2.6	5 October 2001	"Driving Miss Crazy"	James Hendrie & Ian Brown	11
15 – 2.7	12 October 2001	"I Second That Emulsion"	James Hendrie & Ian Brown	11.22
16 – 2.8	19 October 2001	"The Age Of Romance"	James Hendire & Ian Brown	11.05
17 – 2.9	26 October 2001	"Get Cartier"	Fred Barron	11.06
18 – 2.10	2 November 2001	"Tis A Pity She’s A Whore"	Steve Armogida & Jim Armogida	11.06
19 – 2.11	9 November 2001	"The Last Supper"	Steve Armogida & Jim Armogida	12.54
20 – 2.12	23 November 2001	"Ben Wants To Be A Millionaire"	Steve Armogida & Jim Armogida	11.22
21 – 2.13	30 November 2001	"Breakable"	James Hendrie & Ian Brown	11.15
