No.	Date	Tournament	Winning score	To par	Margin of victory	Runner(s)-up
1	Oct 15, 1995	Las Vegas Invitational	67-65-65-67-67=331	–28	1 stroke	Billy Mayfair
2	Feb 18, 1996	United Airlines Hawaiian Open	68-71-69-69=277	–11	Playoff	Brad Faxon
3	Oct 18, 1998	Las Vegas Invitational	67-68-69-63-68=335	–25	1 stroke	Mark Calcavecchia
4	Oct 17, 1999	Las Vegas Invitational	67-64-63-71-66=331	–29	1 stroke	Jonathan Kaye
5	Mar 6, 2000	Doral-Ryder Open	65-67-68-65=265	–23	2 strokes	Franklin Langham
6	Jan 14, 2001	Mercedes Championships	69-69-69-67=274	–14	1 stroke	Rory Sabbatini
7	May 24, 2002	Memorial Tournament	71-70-68-65=274	–14	2 strokes	John Cook , David Peoples
8	Jun 15, 2003	U.S. Open	67-66-67-72=272	–8	3 strokes	Stephen Leaney
10	Jul 3, 2005	Cialis Western Open	64-70-67-69=270	–14	2 strokes	Tiger Woods
11	May 7, 2006	Wachovia Championship	68-69-68-71=276	–12	Playoff	Trevor Immelman
12	Sep 10, 2006	Canadian Open	63-71-67-65=266	–14	1 stroke	Bart Bryant
13	Jul 29, 2007	Canadian Open	69-66-69-64=268	–16	1 stroke	Vijay Singh
14	Mar 21, 2010	Transitions Championship	67-68-67-69=271	–13	1 stroke	K. J. Choi
15	Apr 18, 2010	Verizon Heritage	67-68-67-69=271	–13	Playoff	Brian Davis
