Episode No. Episode No. refers to the episodes number in the overall series, whereas Series No. refers to the episodes number in this particular series.	Series No.	Episode	Director	Writer(s)	Original airdate
16	1	"A Little Lobbying"	Antonia Bird	Jeremy Brock and Paul Unwin	12September1987
17	2	"A Drop of the Hard Stuff"	Antonia Bird	Roy Mitchell	19September1987
18	3	"Shades of Love"	Michael Brayshaw	Wally K Daly	26September1987
19	4	"Cry for Help"	Alan Wareing	Paul Unwin and Jeremy Brock	3October1987
20	5	"Anaconda"	Michael Brayshaw	Ray Brennan	10October1987
21	6	"Lifelines"	Sharon Miller	Jeremy Brock	17October1987
22	7	"The Raid"	Sharon Miller	Susan Wilkins	24October1987
23	8	"Cross Fingers"	Alan Wareing	David Ashton	31October1987
24	9	"Seeking Heat"	Christopher Menaul	Ray Brennan and Jeremy Brock	7November1987
25	10	"Rock-a-Bye-Baby"	Sharon Miller	Ginnie Hole	14November1987
26	11	"Hooked"	Michael Brayshaw	Billy Hamon	21November1987
27	12	"Fun Night"	Alan Wareing	Al Hunter Ashton	28November1987
28	13	"Peace, Brother"	Michael Brayshaw	David Ashton	5December1987
29	14	"Burning Cases"	Christopher Menaul	Jeremy Brock and Paul Unwin	12December1987
