State	Norwegian Americans (1980)	Percent (1980)	Norwegian Americans (1990)	Percent (1990)	Norwegian Americans (2000)	Percent (2000)	Norwegian Americans (2009)	Percent (2009)
United States	3453839	1.8%	3869395	1.5%	4477725	1.6%	4642526	1.5%
Minnesota	712258	19.1%	757212	17.3%	850742	17.3%	868361	16.5%
Wisconsin	391650	9.1%	416271	8.5%	454831	8.5%	466469	8.2%
California	367949	1.7%	411282	1.3%	436128	1.3%	412177	1.1%
Washington	286077	8.1%	333521	6.8%	367508	6.2%	410818	6.2%
North Dakota	184265	30.1%	189106	29.6%	193158	30.1%	199154	30.8%
Iowa	153187	6.0%	152084	5.4%	166667	5.7%	173640	5.8%
Illinois	167995	1.7%	167003	1.4%	178923	1.4%	171745	1.3%
Oregon	113290	5.1%	124216	4.3%	147262	4.3%	164676	4.3%
Texas	65335	0.5%	94096	0.5%	118968	0.6%	129081	0.5%
Arizona	44011	1.8%	70940	1.9%	106771	2.1%	124618	1.9%
Colorado	59948	2.3%	75646	2.2%	109744	2.6%	119164	2.4%
Florida	56567	0.7%	90375	0.6%	114687	0.7%	117444	0.6%
South Dakota	98995	15.8%	106361	15.2%	115292	15.3%	113543	14.0%
New York	94083	0.6%	90158	0.5%	90524	0.5%	92796	0.5%
Montana	82579	12.0%	86460	10.8%	95525	10.6%	90425	9.3%
Michigan	72084	0.8%	72261	0.7%	85753	0.9%	86872	0.9%
Utah	30053	2.3%	36178	2.0%	60567	2.7%	70946	2.5%
Virginia	24409	0.5%	35815	0.5%	46877	0.7%	49826	0.6%
Idaho	27840	3.4%	32956	3.2%	46308	3.6%	47891	3.1%
Pennsylvania	25447	0.2%	31146	0.2%	38869	0.3%	47839	0.4%
North Carolina	10775	0.2%	20184	0.3%	32627	0.4%	47136	0.5%
Missouri	23580	0.5%	29531	0.5%	40887	0.7%	45428	0.8%
New Jersey	42697	0.6%	46991	0.6%	48403	0.6%	44010	0.5%
Ohio	27410	0.3%	31911	0.2%	41537	0.4%	42658	0.4%
Nebraska	27522	1.9%	30533	1.9%	39536	2.3%	39921	2.2%
Nevada	14531	2.1%	23229	1.9%	38353	1.9%	38154	1.4%
Georgia (U.S. state)	12214	0.3%	21388	0.3%	33858	0.4%	35881	0.4%
Massachusetts	29015	0.5%	30726	0.5%	36106	0.6%	34355	0.5%
Indiana	21725	0.5%	25978	0.4%	34174	0.6%	33650	0.5%
Kansas	18635	0.9%	21878	0.8%	29773	1.1%	32242	1.1%
Maryland	18783	0.5%	22520	0.4%	27131	0.5%	31020	0.5%
Alaska	15100	4.6%	23087	4.1%	26439	4.2%	30366	4.3%
Tennessee	9122	0.2%	12098	0.2%	21654	0.4%	28009	0.4%
Oklahoma	14065	0.6%	17401	0.5%	21923	0.6%	23507	0.6%
Connecticut	18157	0.6%	19004	0.5%	21693	0.6%	18403	0.5%
New Mexico	9909	0.8%	13936	0.9%	18088	1.0%	18078	0.9%
Alabama	6521	0.2%	8489	0.2%	13779	0.3%	17230	0.4%
Wyoming	15263	3.8%	18047	3.9%	21204	4.3%	16900	3.1%
South Carolina	5897	0.2%	9170	0.2%	14279	0.4%	14916	0.3%
Arkansas	6185	0.3%	8778	0.3%	13046	0.5%	13293	0.5%
Kentucky	5693	0.2%	7355	0.1%	10826	0.3%	12345	0.3%
New Hampshire	5592	0.7%	8401	0.7%	10301	0.8%	11229	0.8%
Louisiana	8121	0.2%	9510	0.2%	11520	0.3%	11128	0.2%
Maine	5472	0.5%	7256	0.5%	9827	0.8%	9008	0.7%
Hawaii	7707	0.8%	9054	0.8%	9632	0.8%	8249	0.6%
Mississippi	3384	0.1%	4052	0.1%	7088	0.2%	6226	0.2%
Delaware	2511	0.5%	3036	0.4%	3941	0.5%	4777	0.5%
Rhode Island	3560	0.4%	4010	0.3%	4307	0.4%	4697	0.4%
Vermont	2454	0.5%	3537	0.6%	4498	0.7%	4544	0.7%
West Virginia	2211	0.1%	2598	0.1%	3855	0.2%	3880	0.2%
District of Columbia	2006	0.3%	2620	0.4%	2336	0.4%	3801	0.6%
