Week	Date	Opponent	Result	Game site	Attendance
1	1977-09-18	at Houston Oilers	L 20–0	The Astrodome	39,488
2	1977-09-25	Baltimore Colts	L 20–12	Shea Stadium	43,439
3	1977-10-02	New England Patriots	W 30–27	Shea Stadium	38,227
4	1977-10-09	at Buffalo Bills	W 24–19	Rich Stadium	32,046
5	1977-10-16	at Miami Dolphins	L 21–17	Miami Orange Bowl	43,446
6	1977-10-23	Oakland Raiders	L 28–27	Shea Stadium	56,734
7	1977-10-30	at New England Patriots	L 24–13	Schafer Stadium	61,042
8	1977-11-06	Miami Dolphins	L 14–10	Shea Stadium	51,582
9	1977-11-13	Seattle Seahawks	L 17–0	Shea Stadium	42,923
10	1977-11-20	at Baltimore Colts	L 33–12	Memorial Stadium	50,957
11	1977-11-27	Pittsburgh Steelers	L 23–20	Shea Stadium	47,385
12	1977-12-04	at New Orleans Saints	W 16–13	Louisiana Superdome	40,464
13	1977-12-11	Buffalo Bills	L 14–10	Shea Stadium	31,929
14	1977-12-18	at Philadelphia Eagles	L 27–0	Veterans Stadium	19,241
