Week	Date	Opponent	Result	Game site	Attendance
1	2000-09-03	at Green Bay Packers	W 20–16	Lambeau Field	59,870
2	2000-09-10	New England Patriots	W 20–19	The Meadowlands	77,687
3	2000-09-17	Buffalo Bills	W 27–14	The Meadowlands	77,884
4	2000-09-24	at Tampa Bay Buccaneers	W 21–17	Raymond James Stadium	65,619
5	Bye	Bye	Bye	Bye	Bye
6	2000-10-08	Pittsburgh Steelers	L 20–3	The Meadowlands	78,441
7	2000-10-15	at New England Patriots	W 34–17	Foxboro Stadium	60,292
8	2000-10-23	Miami Dolphins	W 40–37 (OT)	The Meadowlands	78,389
9	2000-10-29	at Buffalo Bills	L 23–20	Ralph Wilson Stadium	72,861
10	2000-11-05	Denver Broncos	L 30–23	The Meadowlands	78,305
11	2000-11-12	at Indianapolis Colts	L 23–15	RCA Dome	56,657
12	2000-11-19	at Miami Dolphins	W 20–3	Pro Player Stadium	74,320
13	2000-11-26	Chicago Bears	W 17–10	The Meadowlands	77,354
14	2000-12-03	Indianapolis Colts	W 27–17	The Meadowlands	78,138
15	2000-12-10	at Oakland Raiders	L 31–7	Network Associates Coliseum	62,632
16	2000-12-17	Detroit Lions	L 10–7	The Meadowlands	77,513
17	2000-12-24	at Baltimore Ravens	L 34–20	PSINet Stadium	69,184
