Season	Team 1	Score	Team 2	Venue
2010	South China	0:0	Muangthong United	Hong Kong Stadium , Hong Kong
2010	Muangthong United	3:1	VB Sports Club	Yamaha Stadium (Thailand)
2010	Muangthong United	4:1	Persiwa Wamena	Yamaha Stadium (Thailand)
2010	VB Sports Club	2:3	Muangthong United	National Stadium , Maldives
2010	Muangthong United	0:1	South China	Surakul Stadium , Thailand
2010	Persiwa Wamena	2:2	Muangthong United	Gajayana Stadium , Indonesia
2010	Al-Rayyan	1:1 ( aet ) (2:4 p )	Muangthong United	Umm-Affai Stadium , Qatar
2010	Al-Karamah	1:0	Muangthong United	Khaled bin Walid Stadium , Syria
2010	Muangthong United	2:0	Al-Karamah	Yamaha Stadium (Thailand)
2010	Muangthong United	1:0	Al-Ittihad	Yamaha Stadium (Thailand)
2010	Al-Ittihad	2:0	Muangthong United	Aleppo International Stadium , Syria
2011	Muangthong United	4:0	T&T Hanoi	SCG Stadium , Thailand
2011	Tampines Rovers	1:1	Muangthong United	Jalan Besar Stadium , Singapore
2011	Muangthong United	1:0	Victory SC	SCG Stadium , Thailand
2011	Victory SC	0:4	Muangthong United	National Stadium , Maldives
2011	T&T Hanoi	0:0	Muangthong United	Hang Day Stadium , Vietnam
2011	Muangthong United	4:0	Tampines Rovers	SCG Stadium , Thailand
2011	Muangthong United	4:0	Al Ahed	SCG Stadium , Thailand
2011	Kuwait SC	1:0	Muangthong United	Al Kuwait Sports Club Stadium , Kuwait
2011	Muangthong United	0:0	Kuwait SC	SCG Stadium , Thailand
