English name	Chinese name	Year signed	Year separated	Reason for separation
Bill Chan	石修	1971	[Unknown]	†
Roman Tam	羅文	1974	1989	†
Leslie Cheung	張國榮	1982	1986	†
David Lui	呂方	1984	1990	†
Andy Lau	劉德華	1985	1985	†
Tony Leung Chiu-Wai	梁朝偉	1985	1992	†
Jackie Chan	成龍	1986	1989	†
Alex To	杜德偉	1986	1990	†
Andy Hui	許志安	1986	1997	†
Adam Cheng	鄭少秋	1987	1987	†
Leon Lai	黎明	1987	1990	†
William So	蘇永康	1987	1987	†
Anthony Lun	倫永亮	1988	1990	†
Patrick Tam Yiu Man	譚耀文	1989	1994	Dissolved contract with Capital
Edmond Leung	梁漢文	1989	2001	Capital stopped recording music
Tsui Chun Tung	徐鎮東	1990	1993	Retired from music industry
Aaron Kwok	郭富城	1991	1993	†
Chang Kuan	常寬	1992	1992	Retired from music industry
Phil Chang	張宇	1993	1994	†
Michael Tong Man Lung	唐文龍	1994	1996	†
Gabriel Harrison	海俊傑	1994	1997	Retired from music industry
Eason Chan	陳奕迅	1995	2000	†
Cheung Ming-Man	張明敏	1997	1997	Retired from music industry
Wilfred Lau	劉浩龍	1997	2001	Capital stopped recording music
Louis Koo	古天樂	1998	2001	†
Patrick Tang	鄧健泓	1998	2001	†
Ho Yin Leung	梁浩賢	2000	2001	Retired from music industry
