Code	District	Headquarters	Population (2011)	Area (km²)	Density (/km²)	Official website
AD	Adilabad	Adilabad	2,737,738	16,105	170	http://adilabad.nic.in/
AN	Anantapur	Anantapur	4,083,315	19,130	213	http://anantapur.nic.in/
CH	Chittoor	Chittoor	4,170,468	15,152	275	http://chittoor.nic.in/
EG	East Godavari	Kakinada	5,151,549	10,807	477	http://eastgodavari.nic.in/
GU	Guntur	Guntur	4,889,230	11,391	429	http://guntur.nic.in/
HY	Hyderabad	Hyderabad	4,010,238	217	217	http://hyderabad.nic.in/
CU	Cuddapah	Cuddapah	2,884,524	15,359	188	http://kadapa.nic.in/
KA	Karimnagar	Karimnagar	3,811,738	11,823	322	http://karimnagar.nic.in/
KH	Khammam	Khammam	2,798,214	16,029	175	http://khammam.nic.in/
KR	Krishna	Machilipatnam	4,529,009	8,727	519	http://krishna.nic.in/
KU	Kurnool	Kurnool	4,046,601	17,658	229	http://kurnool.nic.in/
MA	Mahbubnagar	Mahabubnagar	4,042,191	18,432	219	http://mahabubnagar.nic.in/
ME	Medak	Sangareddi	3,031,877	9,699	313	http://medak.nic.in/
NA	Nalgonda	Nalgonda	3,483,648	14,240	245	http://nalgonda.nic.in/
NE	Nellore	Nellore	2,966,082	13,076	227	http://nellore.nic.in/
NI	Nizamabad	Nizamabad	2,552,073	7,956	321	http://nizamabad.nic.in/
PR	Prakasam	Ongole	3,392,764	17,626	193	http://prakasam.nic.in/
RA	Rangareddy	Hyderabad	5,296,396	7,493	707	http://rangareddy.nic.in/
SR	Srikakulam	Srikakulam	2,699,471	5,837	462	http://srikakulam.nic.in/
VS	Vishakhapatnam	Vishakhapatnam	4,288,113	11,161	340	http://visakhapatnam.nic.in/
VZ	Vizianagaram	Vizianagaram	2,342,868	6,539	384	http://vizianagaram.nic.in/
WA	Warangal	Warangal	3,522,644	12,846	252	http://warangal.nic.in/
WG	West Godavari	Eluru	3,934,782	7,742	490	http://wgodavari.nic.in/
