Source	Date	Blagojevich (D)	Topinka (R)	Remainder
Survey USA	November 2, 2006	45%	37%	4%
Survey USA	October 23, 2006	44%	34%	8%
Rasmussen	October 19, 2006	44%	36%	11%
Zogby/WSJ	October 16, 2006	47.1%	33.2%	8.4%
Glengariff Group	October 15, 2006	39%	30%	22%
Tribune/WGN-TV	October 11, 2006	43%	29%	19%
Survey USA	September 20, 2006	45%	39%	9%
Rasmussen	September 13, 2006	48%	36%	16%
Sun-Times/NBC5	September 12, 2006	56%	26%	15%
Tribune/WGN-TV	September 11, 2006	45%	33%	16%
Zogby/WSJ	September 11, 2006	46.5%	33.6%	19.9%
Research 2000	August 31, 2006	47%	39%	12%
Zogby/WSJ	August 28, 2006	44.8%	37.6%	17.6%
Rasmussen	August 10, 2006	45%	37%	18%
Survey USA	July 25, 2006	45%	34%	21%
Zogby/WSJ	July 24, 2006	44.4%	36.4%	19.2%
Rasmussen	July 13, 2006	45%	34%	21%
Zogby/WSJ	June 21, 2006	41.1%	37.5%	21.4%
Glengariff Group	June 1–3, 2006	41%	34%	25%
Survey USA	May 23, 2006	43%	37%	20%
Rasmussen	April 24, 2006	38%	44%	18%
Rasmussen	March 31, 2006	41%	43%	16%
Rasmussen	February 25, 2006	42%	36%	22%
Rasmussen	February 7, 2006	37%	48%	15%
Research 2000	January 22, 2006	45%	37%	18%
