Week	Date	Opponent	Location	Final Score	Attendance	Record
1	August 18	@ Rough Riders	Landsdowne Park	W 21–20	20675	1–0–0
1	August 21	Tiger-Cats	Exhibition Stadium	L 16–7	27554	1–1–0
2	August 28	@ Alouettes	Molson Stadium	L 24–6	23927	1–2–0
3	September 7	@ Tiger-Cats	Civic Stadium	L 37–3	24245	1–3–0
4	September 13	Rough Riders	Exhibition Stadium	W 19–6	25849	2–3–0
5	September 16	@ Rough Riders	Landsdowne Park	L 28–1	13097	2–4–0
5	September 20	Tiger-Cats	Exhibition Stadium	L 34–17	27883	2–5–0
6	September 26	Alouettes	Exhibition Stadium	W 39–9	20035	3–5–0
7	October 3	@ Alouettes	Molson Stadium	W 37–14	22152	4–5–0
8	October 10	Tiger-Cats	Exhibition Stadium	L 13–7	26223	4–6–0
8	October 12	@ Tiger-Cats	Civic Stadium	L 20–7	22068	4–7–0
9	October 17	Alouettes	Exhibition Stadium	L 4–3	19941	4–8–0
10	October 24	@ Rough Riders	Landsdowne Park	L 18–4	14996	4–9–0
