Name	Reign	Days held	Location	Defenses
Charles C. Smith	1	Unknown	—	0
Morris Grant	1	Unknown	New York City , New York , USA	1
Charles Hadley	1	770	New York City , New York , USA	3
George Godfrey (b. 1853)	1	2009	Boston , Massachusetts , USA	2
Peter Jackson	1	3041	San Francisco , California , USA	0
Bob Armstrong	1	404	New York City, New York, USA	1
Frank Childs	1	228	Chicago , Illinois , USA	2
George Byers	1	913	Chicago, Illinois, USA	4
Frank Childs	2	345	Hot Springs , Arkansas , USA	0
Ed Martin	1	346	Chicago, Illinois, USA	2
Jack Johnson	1	2151	Los Angeles , California, USA	17
Sam McVea	1	56	Paris , France	1
Joe Jeanette	1	507	Paris, France	1
Sam Langford	1	476	Boston, Massachusetts, USA	3
Sam McVea	2	104	Sydney , Australia	0
Sam Langford	2	753	Sydney, Australia	2
Harry Wills	1	209	New Orleans , Louisiana , USA	1
Sam Langford	3	403	Los Angeles, California, USA	0
Harry Wills	2	39	New Orleans, Louisiana, USA	0
Sam Langford	4	349	New Orleans, Louisiana, USA	0
Bill Tate	1	97	Kansas City , Missouri , USA	0
Sam Langford	5	347	St. Louis , Missouri, USA	1
Harry Wills	3	3103	Panama City , Panama	25
George Godfrey (b. 1897)	1	628	Buffalo , New York, USA	3
Larry Gains	1	Unknown	Buffalo , New York, USA	0
George Godfrey (b. 1897)	2	777	Toronto , Ontario , Canada	3
Obie Walker	1	649	Philadelphia , Pennsylvania , USA	0
Larry Gains	2	Unknown	Leicester , England	0
