Frequency	Station	Operator	Language	Genre
0 88.3MHz	883JiaFM	SAFRA Radio	Chinese, English	Adult Contemporary
0 88.9MHz	BBC World Service	BBC Radio	English	Talk radio
0 89.7MHz	Ria 89.7FM	MediaCorp	Malay, Arab, English	CHR/Pop , Malaysian pop , Indo pop , Arab pop
0 90.5MHz	Gold 90.5FM	MediaCorp	English	Classic hits , Oldies
0 91.3MHz	HOT FM91.3	SPH UnionWorks	English	CHR/Pop , Top 40
0 92.0MHz	Kiss 92FM	SPH UnionWorks	English	Adult Contemporary
0 92.4MHz	Symphony 92.4FM	MediaCorp	English	Classical music
0 93.3MHz	Y.E.S. 93.3FM	MediaCorp	Chinese	CHR/Pop , Chinese pop
0 93.8MHz	938LIVE	MediaCorp	English	Talk radio
0 94.2MHz	Warna 94.2FM	MediaCorp	Malay	Adult Contemporary
0 95.0MHz	Class 95FM	MediaCorp	English	Adult Contemporary
0 95.8MHz	Capital 95.8FM	MediaCorp	Chinese	Talk radio , Classic hits , Oldies
0 96.3MHz	XFM 96.3	MediaCorp	Japanese, French, German, Hindi, Korean	CHR/Pop , Korean pop , Talk radio
0 96.8MHz	Oli 96.8FM	MediaCorp	Tamil, English	Talk radio
0 97.2MHz	Love 97.2FM	MediaCorp	Chinese, English	Adult Contemporary
0 98.0MHz	Power98FM	SAFRA Radio	English	CHR/Pop , Hot Adult Contemporary
0 98.7MHz	987FM	MediaCorp	English	CHR/Pop , Top 40
0 99.5MHz	Lush 99.5FM	MediaCorp	English	Chill-out music , Deep house , Easy listening
100.3MHz	UFM 1003	SPH UnionWorks	Chinese	CHR/Pop , Chinese pop
