Year	Competition	Venue	Position	Notes
2003	58th National Sports Festival of Japan	Shizuoka , Japan	7th	100 m
2004	Japan Student Athletics Championships	Unknown, Japan	6th	200 m
2004	World Junior Championships	Grosseto , Italy	3rd	4x100 m relay
2006	Kanto Students Athletics Championships	Kantō , Japan	2nd	100 m
2006	Kanto Students Athletics Championships	Kantō , Japan	2nd	200 m
2006	Japan Association of Athletics Championships	Tokyo, Japan	1st	100 m
2006	Japan Association of Athletics Championships	Tokyo, Japan	3rd	200 m
2006	World Cup	Athens, Greece	3rd	4x100 m relay
2006	Asian Games	Doha , Qatar	2nd	100 m
2006	Asian Games	Doha , Qatar	2nd	4x100 m relay
2008	Olympic Games	Beijing , China	3rd	4x100 m relay
