Tie no	Home team	Score	Away team	Date
1	Blackpool	3–0	Mansfield Town	9 January 1960
2	Bournemouth	1–0	York City	9 January 1960
3	Bath City	0–1	Brighton & Hove Albion	9 January 1960
4	Bristol City	2–3	Charlton Athletic	9 January 1960
5	Bury	1–1	Bolton Wanderers	9 January 1960
Replay	Bolton Wanderers	4–2	Bury	13 January 1960
6	Liverpool	2–1	Leyton Orient	9 January 1960
7	Watford	2–1	Birmingham City	9 January 1960
8	Gillingham	1–4	Swansea Town	9 January 1960
9	Nottingham Forest	1–0	Reading	9 January 1960
10	Aston Villa	2–1	Leeds United	9 January 1960
11	Sheffield Wednesday	2–1	Middlesbrough	9 January 1960
12	Crewe Alexandra	2–0	Workington	9 January 1960
13	West Bromwich Albion	3–2	Plymouth Argyle	9 January 1960
14	Sunderland	1–1	Blackburn Rovers	9 January 1960
Replay	Blackburn Rovers	4–1	Sunderland	13 January 1960
15	Derby County	2–4	Manchester United	9 January 1960
16	Lincoln City	1–1	Burnley	9 January 1960
Replay	Burnley	2–0	Lincoln City	12 January 1960
17	Wrexham	1–2	Leicester City	9 January 1960
18	Sheffield United	3–0	Portsmouth	9 January 1960
19	Ipswich Town	2–3	Peterborough United	9 January 1960
20	Newcastle United	2–2	Wolverhampton Wanderers	9 January 1960
Replay	Wolverhampton Wanderers	4–2	Newcastle United	13 January 1960
21	Manchester City	1–5	Southampton	9 January 1960
22	Fulham	5–0	Hull City	9 January 1960
23	Bristol Rovers	0–0	Doncaster Rovers	9 January 1960
Replay	Doncaster Rovers	1–2	Bristol Rovers	12 January 1960
24	Bradford City	3–0	Everton	9 January 1960
25	Chelsea	5–1	Bradford Park Avenue	9 January 1960
26	Exeter City	1–2	Luton Town	9 January 1960
27	Scunthorpe United	1–0	Crystal Palace	9 January 1960
28	Huddersfield Town	1–1	West Ham United	9 January 1960
Replay	West Ham United	1–5	Huddersfield Town	13 January 1960
29	Cardiff City	0–2	Port Vale	9 January 1960
30	Newport County	0–4	Tottenham Hotspur	9 January 1960
31	Stoke City	1–1	Preston North End	9 January 1960
Replay	Preston North End	3–1	Stoke City	12 January 1960
32	Rotherham United	2–2	Arsenal	9 January 1960
Replay	Arsenal	1–1	Rotherham United	13 January 1960
Replay	Rotherham United	2–0	Arsenal	18 January 1960
