Year	Utah Mr. Basketball	High school	Class	College
2013	Nick Emery	Lone Peak	5A	BYU
2012	Jordan Loveridge	West Jordan	5A	Utah
2011	Tyrell Corbin	West	5A	UC Davis / SLCC
2010	Kyle Collinsworth	Provo	4A	BYU
2009	Tyler Haws	Lone Peak	5A	BYU
2008	Tyler Haws	Lone Peak	5A	BYU
2007	Morgan Grim	Riverton	5A	Utah / Utah State
2006	Daniel Deane	Judge Memorial	3A	Utah / Oregon St.
2005	Jackson Emery	Lone Peak	5A	BYU
2004	Tai Wesley	Provo	4A	Utah State
2003	Josh Olson	Alta	5A	Utah
2002	Brody Van Brocklin	Davis	5A	Weber State
2001	Jared Jensen	Fremont	5A	BYU
2000	Garner Meads	Brighton	5A	BYU
1999	Tim Henry	Mountain View	5A	SLCC
1998	Tony Brown	Mountain Crest	4A	Utah State
1997	Britton Johnsen	Murray	4A	Utah
1996	Jeff Johnsen	Murray	4A	Utah
1995	Jeff Johnsen	Murray	4A	Utah
1994	Alex Jensen	Viewmont	5A	Utah
1993	Ben Melmeth	Judge Memorial	3A	Utah
1992	JaRon Boone	Skyline	4A	Nebraska
1991	Justin Weidauer	Cottonwood	3A	BYU
1990	Kenneth Roberts	Bingham	4A	BYU
1989	Shawn Bradley	Emery	2A	BYU
1988	Matt Bowman	Timpview	3A	Utah Valley
1987	Kurt Miller	Ben Lomond	3A	New Mexico
