Aircraft type	National Origin	1st Flight	In Service	Retired	# built
Aichi B7A	Japan	1942	1944	1945	114
Airspeed Fleet Shadower	UK	1940	n/a	n/a	1
Blackburn Firebrand	UK	1942	1944	1953	225
Boeing XF8B	US	1944	n/a	n/a	3
Brewster SB2A Buccaneer	US	1941	n/a	n/a	771
Consolidated TBY Sea Wolf	US	1941	1944	1947	180
Curtiss XF14C	US	1944	n/a	n/a	1
Curtiss XF15C	US	1945	n/a	n/a	3
Curtiss XBT2C	US	1945	n/a	n/a	9
Curtiss XBTC	US	1945	n/a	n/a	2
de Havilland Sea Hornet	UK	1944	1946	1956	174
de Havilland Sea Mosquito	UK	1944	1946	1947	66
de Havilland Sea Vampire	UK	1944	1949	1955	98
Douglas AD Skyraider	US	1945	1946	1985	3180
Douglas BTD Destroyer	US	1943	1944	1945	30
Douglas XTB2D Skypirate	US	1945	n/a	n/a	2
Fairey Barracuda	UK	1940	1943	1954	2582
Fairey Firefly	UK	1941	1943	1957	1702
Fairey Spearfish	UK	1945	n/a	n/a	5
General Aircraft Fleet Shadower	UK	1940	n/a	n/a	1
Goodyear F2G Corsair	US	1945	n/a	n/a	10
Grumman F6F Hellcat	US	1942	1943	1960	12275
Grumman F7F Tigercat	US	1943	1944	1954	364
Grumman F8F Bearcat	US	1944	1945	1961	1265
Grumman TBF Avenger	US	1941	1942	1960	9839
Hawker Sea Fury	UK	1945	1945	1956	864
Hawker Sea Hurricane	UK	1940	1940	1945	1190+
Kaiser-Fleetwings XBTK	US	1945	n/a	n/a	5
Martin AM Mauler	US	1944	1948	1953	151
McDonnell FH Phantom	US	1945	1947	1954	62
Mitsubishi A7M	Japan	1944	n/a	n/a	10
Nakajima B6N	Japan	1941	1943	1945	1268
Nakajima C6N	Japan	1943	1944	1945	463
North American PBJ-1H	US	1944	n/a	n/a	1
Ryan FR Fireball	US	1944	1945	1947	71
Supermarine Seafire	UK	1942	1942	1951	2556
Supermarine Type 322	UK	1943	n/a	n/a	2
Yokosuka D3Y	Japan	1944	n/a	n/a	5
