Edition	Date	Winner	Country	Time ( h : m : s )
66th	December 2, 2012	Joseph Gitau	Kenya	2:06:58
65th	December 4, 2011	Josphat Ndambiri	Kenya	2:07:36
64th	December 5, 2010	Jaouad Gharib	Morocco	2:08:24
63rd	December 6, 2009	Tsegaye Kebede	Ethiopia	2:05:18
62nd	December 7, 2008	Tsegaye Kebede	Ethiopia	2:06:10
61st	December 2, 2007	Samuel Wanjiru	Kenya	2:06:39
60th	December 3, 2006	Haile Gebreselassie	Ethiopia	2:06:52
59th	December 4, 2005	Dmytro Baranovskyy	Ukraine	2:08:29
58th	December 5, 2004	Tsuyoshi Ogata	Japan	2:09:10
57th	December 7, 2003	Tomoaki Kunichika	Japan	2:07:52
56th	December 1, 2002	Gezahegne Abera	Ethiopia	2:09:13
55th	December 2, 2001	Gezahegne Abera	Ethiopia	2:09:25
54th	December 3, 2000	Atsushi Fujita	Japan	2:06:51 NR
53rd	December 5, 1999	Gezahegne Abera	Ethiopia	2:07:54
52nd	December 6, 1998	Jackson Kabiga	Kenya	2:08:42
51st	December 7, 1997	Josia Thugwane	South Africa	2:07:28
50th	December 1, 1996	Lee Bong-Ju	South Korea	2:10:48
49th	December 3, 1995	Luiz Antonio dos Santos	Brazil	2:09:30
48th	December 4, 1994	Boay Akonay	Tanzania	2:09:45
47th	December 5, 1993	Dionicio Cerón	Mexico	2:08:51
46th	December 6, 1992	Tena Negere	Ethiopia	2:09:04
45th	December 1, 1991	Shuichi Morita	Japan	2:10:58
44th	December 2, 1990	Belayneh Densamo	Ethiopia	2:11:35
43rd	December 3, 1989	Manuel Matias	Portugal	2:12:54
42nd	December 4, 1988	Toshihiro Shibutani	Japan	2:11:04
41st	December 6, 1987	Takeyuki Nakayama	Japan	2:08:18
40th	December 7, 1986	Juma Ikangaa	Tanzania	2:10:06
39th	December 1, 1985	Hisatoshi Shintaku	Japan	2:09:51
38th	December 2, 1984	Takeyuki Nakayama	Japan	2:10:00
37th	December 4, 1983	Toshihiko Seko	Japan	2:08:52
36th	December 5, 1982	Paul Ballinger	New Zealand	2:10:15
35th	December 6, 1981	Robert de Castella	Australia	2:08:18 WR
34th	December 7, 1980	Toshihiko Seko	Japan	2:09:45
33rd	December 2, 1979	Toshihiko Seko	Japan	2:10:35
32nd	December 3, 1978	Toshihiko Seko	Japan	2:10:21
31st	December 4, 1977	Bill Rodgers	United States	2:10:56
30th	December 5, 1976	Jerome Drayton	Canada	2:12:35
29th	December 7, 1975	Jerome Drayton	Canada	2:10:09
28th	December 8, 1974	Frank Shorter	United States	2:11:32
27th	December 2, 1973	Frank Shorter	United States	2:11:45
26th	December 3, 1972	Frank Shorter	United States	2:10:30
25th	December 5, 1971	Frank Shorter	United States	2:12:51
24th	December 6, 1970	Akio Usami	Japan	2:10:38
23rd	December 7, 1969	Jerome Drayton	Canada	2:11:13
22nd	December 8, 1968	Bill Adcocks	England	2:10:48
21st	December 3, 1967	Derek Clayton	Australia	2:09:37 WR
20th	November 27, 1966	Mike Ryan	New Zealand	2:14:05
19th	October 10, 1965	Hidekuni Hiroshima	Japan	2:18:36
18th	December 6, 1964	Toru Terasawa	Japan	2:14:49
17th	October 15, 1963	Jeff Julian	New Zealand	2:18:01
16th	December 2, 1962	Toru Terasawa	Japan	2:16:19
15th	December 3, 1961	Pavel Kantorek	Czech Republic	2:22:05
14th	December 4, 1960	Barry Magee	New Zealand	2:19:04
13th	November 8, 1959	Kurao Hiroshima	Japan	2:29:34
12th	December 7, 1958	Nobuyoshi Sadanaga	Japan	2:24:01
11th	December 1, 1957	Kurao Hiroshima	Japan	2:21:40
10th	December 9, 1956	Keizo Yamada	Japan	2:25:15
9th	December 11, 1955	Veikko Karvonen	Finland	2:23:16
8th	December 5, 1954	Reinaldo Gorno	Argentina	2:24:55
7th	December 6, 1953	Hideo Hamamura	Japan	2:27:26
6th	December 7, 1952	Katsuo Nishida	Japan	2:27:59
5th	December 9, 1951	Hiromi Haigo	Japan	2:30:13
4th	December 10, 1950	Shunji Koyanagi	Japan	2:30:47
3rd	December 4, 1949	Shinzo Koga	Japan	2:40:26
2nd	December 5, 1948	Saburo Yamada	Japan	2:37:25
1st	December 7, 1947	Toshikazu Wada	Japan	2:45:45
