Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
29	January 2	L.A. Clippers	W 120-107	D. Wilkins (35)	D. Wilkins (16)	G. Rivers (11)	Omni Coliseum 8,733	16–13
30	January 4	Indiana	W 111-96	D. Wilkins (36)	M. Malone (11)	G. Rivers , R. Robinson (5)	Omni Coliseum 10,124	17–13
31	January 5	Minnesota	W 117-112 (OT)	J. Battle (27)	K. Willis (19)	J. Koncak (7)	Omni Coliseum 10,988	18–13
32	January 8	San Antonio	W 109-98	D. Wilkins (40)	K. Willis (9)	G. Rivers (10)	Omni Coliseum 12,608	19–13
33	January 11	@ Chicago	L 96-99	D. Wilkins (23)	D. Wilkins (12)	J. Battle (7)	Chicago Stadium 18,676	19-14
34	January 12	@ New York	L 92-99	D. Wilkins (22)	G. Rivers (8)	G. Rivers , R. Robinson (6)	Madison Square Garden 17,457	19-15
35	January 14	New York	W 96-82	D. Wilkins (26)	D. Wilkins (16)	J. Battle , S. Moncrief (4)	Omni Coliseum 12,612	20-15
36	January 15	@ Indiana	W 117-106	D. Wilkins (28)	D. Wilkins (12)	J. Battle (8)	Market Square Arena 9,531	21-15
37	January 18	Chicago	W 114-105	D. Wilkins (34)	M. Malone (12)	G. Rivers (5)	Omni Coliseum 16,390	22-15
38	January 19	New Jersey	W 114-84	K. Willis (24)	K. Willis (17)	A. Webb (6)	Omni Coliseum 15,758	23-15
39	January 22	Miami	W 118-107	K. Willis (29)	K. Willis (10)	G. Rivers , A. Webb , D. Wilkins (7)	Omni Coliseum 10,440	24-15
40	January 23	@ Washington	L 99-104	D. Wilkins (27)	D. Wilkins (13)	G. Rivers (7)	Capital Centre 9,830	24-16
41	January 26	@ Seattle	L 102-103	D. Wilkins (43)	D. Wilkins (10)	A. Webb (9)	Seattle Center Coliseum 12,792	24-17
42	January 28	@ Portland	L 111-116	D. Wilkins (34)	K. Willis (10)	A. Webb (11)	Memorial Coliseum 12,884	24-18
43	January 29	@ Utah	L 105-116	D. Wilkins (24)	D. Wilkins (14)	A. Webb (4)	Salt Palace 12,616	24-19
