engine model	engine displacement	valvetrain	max. power : kW ( PS )	rpm for max. power	max. torque : Nm ( ft·lbf )	rpm for max. torque
1.4 SD	cc ( cuin )	8v SOHC	35 (48)	4,500	82 (60)	2,700 - 3,500
1.4 TDI	cc ( cuin )	12v SOHC	59 (80)	4,000	195 (144)	2,200
1.7 D	cc ( cuin )	8v SOHC	42 (57)	4,500	103 (76)	2,800
1.7 SDI	cc (cuin)	8v SOHC	44 (60)	4,200	115 (85)	2,200
1.9 D	cc (cuin)	8v SOHC	47 (64)	4,300	124 (91)	2,500- 3,200
1.9 SD	cc (cuin)	8v SOHC	36 (49)	3,000	121 (89)	1,800
1.9 SDI	cc (cuin)	8v SOHC	50 (68)	4,000	133 (98)	1,800
1.9 TD	cc (cuin)	8v SOHC	55 (75)	4,200	150 (111)	2,000
1.9 TDI	cc (cuin)	8v SOHC	66 (90)	3,750	210 (155)	1,900
1.9 TDI PD	cc (cuin)	8v SOHC	96 (131)	4,000	310 (229)	1,900
2.0 SDI PD	cc (cuin)	8v SOHC	55 (75)	4,200	140 (103)	2,400
2.0 TDI PD 140PS	cc (cuin)	8v SOHC	103 (140)	4,000	320 (236)	1,800
2.0 TDI PD 16v 170PS	cc (cuin)	16v DOHC	125 (170)	4,200	350 (258)	1,800- 2,500
2.0 TDI CR 16v 170PS	cc (cuin)	16v DOHC	125 (170)	4,200	350 (258)	1,750- 2,500
2.5 R5 SDI 75PS	cc (cuin)	10v SOHC	55 (75)	3,600	155 (114)	2,250
2.5 R5 TDI CR 163PS	cc (cuin)	10v SOHC	120 (163)	3,500	350 (258)	2,000
2.5 R5 TDI PD 174PS	cc (cuin)	10v SOHC	128 (174)	3,500	400 (295)	2,000
engine model	engine displacement	valvetrain	max. power : kW ( PS )	rpm for max. power	max. torque : Nm ( ft·lbf )	rpm for max. torque
