Round	Pick	Player	Nationality	School
1	16 (for Frank Catalanotto )	Kevin Ahrens (SS)	United States	Memorial High School
1	21	Jonathan Arencibia (C)	United States	Tennessee
C-A	38 (for Justin Speier )	Brett Cecil (LHP)	United States	Maryland-College Park
C-A	45 (for Frank Catalanotto )	Justin Jackson (SS)	United States	T.C. Roberson High School
C-A	56 (for Ted Lilly )	Trystan Magnuson (RHP)	Canada	Louisville
2	85	John Tolisano (2B)	United States	Estero High School
2	88 (for Justin Speier )	Eric Eiland (CF)	United States	Lamar High School
3	115	Alan Farina (RHP)	United States	Clemson
4	145	Brad Mills (LHP)	United States	Arizona
5	175	Marc Rzepczynski (LHP)	United States	UC-Riverside
6	205	Michael McDade (1B)	United States	Silverado High School
7	235	Randy Boone (RHP)	United States	Texas
8	265	Robbert Leffler (RHP)	United States	U of Tampa
9	295	Marcus Walden (RHP)	United States	Fresno CC
10	325	Joel Collins (C)	Canada	South Alabama
11	355	Brad Emaus (2B)	United States	Tulane
12	385	Steven Condotta (SS)	Canada	Florida Tech
13	415	Jonathan Talley (C)	United States	Carlsbad High School
14	445	Cody Crowell (LHP)	United States	Vanderbilt
15	475	Nathan Jennings (RHP)	United States	Tyler
16	505	Darin Mastroianni (2B)	United States	USI
17	535	Adalberto Santos (2B)	United States	New Mexico JC
18	565	Christopher Corrigan (RHP)	United States	San Jacinto College
19	595	Brian Letko (LHP)	United States	Embry-Riddle
20	625	Willie Hale (RHP)	United States	tOSU
21	655	Cody Dunbar (RHP)	United States	TCU
22	685	Matthew Thomson (RHP)	United States	Santa Rose College
23	715	Frank Gailey (LHP)	United States	West Chester
24	745	James Dougher (RHP)	United States	SUNY-Cortland
25	775	Jason Monti (RHP)	United States	Sacred Heart
26	805	Ross Buckwalter (RHP)	United States	Shippensburg
27	835	Kyle Gilligan (SS)	Canada	Connors State
28	865	Xorge Carrillo (C)	United States	McClintock High School
29	895	Jonathan Runnels (LHP)	United States	Rice
30	925	David Kaye (RHP)	United States	Riverview High School
