Country	UN budget	International Trade (Millions of USD) 2011	GDP (nominal) (Millions of USD) 2011	GDP (PPP) (Millions of USD) 2011	Population
Italy	4.999%	1,050,100	2,198,730	1,846,950	60,849,247
Canada	3.207%	910,200	1,736,869	1,396,131	34,953,100
Spain	3.177%	715,200	1,493,513	1,413,468	46,163,116
Mexico	2.356%	678,200	1,154,784	1,661,640	112,336,538
South Korea	2.260%	1,084,000	1,116,247	1,554,149	50,004,441
Turkey	0.617%	373,800	778,089	1,073,565	74,724,269
Argentina	0.287%	136,300	447,644	716,419	40,117,096
Indonesia	0.238%	335,100	845,680	1,124,649	237,641,326
Colombia	0.144%	92,760	327,626	471,890	46,748,000
Pakistan	0.082%	58,000	210,566	488,580	180,991,000
Costa Rica	0.034%	24,460	40,947	55,020	4,301,712
Malta	0.017%	9,200	8,896	10,757	417,617
San Marino	0.003%	6,201	2,048	1,136	32,404
