Round	Pick	Player	Position	College
1	13	Jim Files	Linebacker	Oklahoma
4	97	Wes Grant	Defensive end	UCLA
5	117	Claude Brumfield	Guard	Tennessee State
6	142	Duane Miller	Wide receiver	Drake
9	221	Pat Hughes	Center	Boston University
10	246	Matt Fortier	Defensive end	Fairmont State
11	273	Alan Pitcaithley	Running back	Oregon
12	298	Larry Nels	Linebacker	Wyoming
13	325	Gary Inskeep	Tackle	Wisconsin–Stout
14	350	Rodney Brand	Center	Arkansas
15	377	Warren Muir	Running back	South Carolina
16	402	Vic Nolting	Defensive back	Xavier
17	429	Walter Breaux	Defensive tackle	Grambling
