Rank	Name	Height m (ft)	Floors	Year
1	Marina 101 [A ]	metres (ft)	101	2014
2	Central Market Residential Tower	metres (ft))	88	2013
3	Ahmed Abdul Rahim Al Attar Tower [A ]	metres (ft)	76	2014
4	DAMAC Heights	metres (ft))	85	2016
5	The Skyscraper (Dubai)	metres (ft)	66	2014
6	Al Yaqoub Tower [A ]	metres (ft)	72	2013
8	Sky Tower	metres (ft)	74	2010
9	Infinity Tower [A ]	metres (ft)	80	2013
10	Dubai Pearl Tower	metres (ft)	73	2016
11	Tameer Tower	metres (ft)	73	2013
12	D1 [A ]	metres (ft)	80	2013
13	Al Hekma Tower	metres (ft)	64	2013
14	Central Market Commercial Tower	metres (ft)	66	2013
15	Central Market Hotel Tower	metres (ft)	58	2013
16	Conrad Dubai	metres (ft)	51	2013
17	The Gate Residential Tower 1	metres (ft)	60	2013
18	The Gate Residential Tower 2	metres (ft)	60	2013
19	The Gate Residential Tower 3	metres (ft)	60	2013
20	The Gate Residential Tower 4	metres (ft)	60	2013
21	Ahmed Khoory Tower	metres (ft)	60	2013
22	Emirates Pearl	metres (ft)	47	2009
23	The Buildings by Daman [A ]	metres (ft)	65	2013
24	Burj-Al-Salam	metres (ft)	58	2013
25	Tameer Tower A	metres (ft)	62	2013
26	Tameer Tower C	metres (ft)	62	2013
27	The Bay Gate [A ]	metres (ft)	53	2013
28	Al Bateen Tower [A ]	metres (ft)	55	2013
