Name	Years	Gender	Area	Authority	Decile	Roll
Hilltop School	1–8	Coed	Taupo	State	8	555
Kuratau School	1–8	Coed	Kuratau	State	5	86
Lake Taupo Christian School	1–15	Coed	Taupo	State integrated	6	122
Mangakino Area School	1–15	Coed	Mangakino	State	1	124
Marotiri School	1–8	Coed	Mangakino	State	8	108
Mountview School	1–8	Coed	Taupo	State	2	330
Rangitaiki School	1–8	Coed	Rangitaiki	State	4	17
St Patrick's Catholic School	1–8	Coed	Taupo	State integrated	7	210
Tauhara College	9–15	Coed	Taupo	State	5	591
Tauhara School	1–6	Coed	Tauhara	State	3	182
Taupo Intermediate	7–8	Coed	Taupo	State	6	507
Taupo School	1–6	Coed	Taupo	State	5	478
Taupo-nui-a-Tia College	9–15	Coed	Taupo	State	7	870
Te Kura o Hirangi	1–15	Coed	Turangi	State	2	157
Te Kura o Waitahanui	1–6	Coed	Waitahanui	State	2	29
Tirohanga School	1–8	Coed	Atiamuri	State	6	24
TKKM o Whakarewa I Te Reo Ki Tuwharetoa	1–15	Coed	Taupo	State	2	99
Tongariro School	1–15	Coed	Turangi	State	2	515
Waipahihi School	1–6	Coed	Taupo	State	8	522
Wairakei School	1–6	Coed	Wairakei	State	6	219
Whakamaru School	1–8	Coed	Whakamaru	State	3	87
