Debut year	Player	Date of birth	Games	Goals	Years at club
1935	Jack Holden	9 July 1910	4	0	1935
1935	Jim Nash	14 May 1914	44	6	1935–1936, 1939–1940
1935	Laurie Slack	17 March 1915	77	11	1935–1940
1935	Billy Plunkett	5 February 1914	8	22	1935
1935	Frank Holden	29 March 1913	5	4	1935–1936
1935	Neil Tucker	5 September 1915	61	20	1935–1941, 1944
1935	Billy Blair	6 March 1912	2	0	1935
1935	Bill Borwick	27 November 1913	1	0	1935
1935	Leo Dean	10 April 1914	60	1	1935–1941, 1944–1945
1935	Vic Harrison	13 January 1911	2	0	1935
1935	Jim Allen	25 November 1912	1	0	1935
1935	Jack Grant	24 September 1915	119	99	1935–1941, 1945–1946
1936	Gordon Abbott	26 September 1914	50	27	1936–1938
1936	Charlie Dibbs	4 March 1905	7	0	1936
1936	Frank Johnson	9 June 1916	8	1	1936–1937
1936	Jack Gaudion	23 July 1910	4	2	1936
1936	Nick Muller	9 October 1914	10	0	1936, 1940
1936	Bernie Hore	6 February 1916	60	2	1936–1940
1936	Ashley Foley	27 December 1915	15	2	1936–1938
1936	Geoff Mahon	24 April 1915	82	35	1936–1940, 1946
1936	Jim Pender	15 October 1911	1	0	1936
1936	George Dougherty	12 September 1913	121	188	1936–1941, 1944–1945
1937	Jim Wills	21 October 1914	26	16	1937–1938, 1940
1937	Bernie Miller	5 March 1915	6	0	1937
1937	Clyde Helmer	22 April 1916	71	137	1937–1941
1937	Stan Howard	19 April 1916	54	1	1937–1941
1937	Stan Mullane	2 December 1915	1	0	1937
1937	Bill Dyer	15 March 1917	19	1	1937–1938
1938	Jack Butcher	28 October 1914	86	18	1938–1941, 1944–1945
1938	Doug Rankin	21 December 1915	9	8	1938–1939
1938	Cliff Taylor	4 June 1914	10	0	1938
1938	Keith Milte	28 May 1917	1	0	1938
1938	Ted Tuohill	19 January 1916	11	10	1938–1940
1939	Mick Glenister	21 November 1917	39	9	1939–1941
1939	George Gniel	4 June 1919	114	11	1939–1941, 1944–1947
1939	Alan Marsham	8 June 1920	24	5	1939–1940, 1945–1946
1939	Jim Knight	1 March 1918	42	54	1939–1941
1939	Jack Lynch	8 September 1918	25	39	1939–1940
1939	Colin Graham	8 December 1915	30	16	1939, 1941, 1944–1945
1939	Rupe Bethune	15 August 1917	29	3	1939–1941
1939	Pat Leahy	9 February 1917	20	9	1939, 1944
1939	Geoff Organ	5 January 1918	1	0	1939
1939	Percy Taylor	4 October 1919	25	21	1939–1941
