Place	Player	Country	Score	To par	Money ( £ )
1	Ian Baker-Finch	Australia	71-71-64-66=272	–8	90,000
2	Mike Harwood	Australia	68-70-69-67=274	–6	70,000
T3	Fred Couples	United States	72-69-70-64=275	–5	55,000
T3	Mark O'Meara	United States	71-68-67-69=275	–5	55,000
T5	Eamonn Darcy	Ireland	73-68-66-70=277	–3	34,167
T5	Jodie Mudd	United States	72-70-72-63=277	–3	34,167
T5	Bob Tway	United States	75-66-70-66=277	–3	34,167
8	Craig Parry	Australia	71-70-69-68=278	–2	27,500
T9	Seve Ballesteros	Spain	66-73-69-71=279	–1	22,833
T9	Bernhard Langer	Germany	71-71-70-67=279	–1	22,833
T9	Greg Norman	Australia	74-68-71-66=279	–1	22,833
