Place	Player	Country	Score	To par
1	Colin Montgomerie	Scotland	65	–5
T2	Steve Stricker	United States	66	–4
T2	Hal Sutton	United States	66	–4
T4	Tom Lehman	United States	67	–3
T4	Mark McNulty	Zimbabwe	67	–3
T6	Hideki Kase	Japan	68	–2
T6	Dave Schreyer	United States	68	–2
T8	Justin Leonard	United States	69	–1
T8	Jeff Sluman	United States	69	–1
T10	Mike Brisky	United States	70	E
T10	Hale Irwin	United States	70	E
T10	Joel Kribel (a)	United States	70	E
T10	Larry Mize	United States	70	E
T10	David Ogrin	United States	70	E
T10	Craig Parry	Australia	70	E
T10	Chris Perry	United States	70	E
T10	David White	United States	70	E
