Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	200	24	82	308
2	Belarus	12	11	19	43
3	Bulgaria	12	10	22	44
4	Ukraine	7	17	26	50
5	Kazakhstan	4	5	23	31
6	Mongolia	4	7	7	18
7	Lithuania	2	4	11	17
8	Georgia	2	4	8	14
9	Uzbekistan	1	8	15	24
10	Kyrgyzstan	1	2	4	7
10	Serbia	1	2	4	7
12	Tajikistan	1	2	3	6
13	Latvia	1	1	3	5
14	Moldova	1	0	5	6
15	Venezuela	0	3	7	10
16	Armenia	0	2	6	8
17	Azerbaijan	0	2	4	6
18	Japan	0	1	4	5
19	France	0	1	3	4
19	Romania	0	1	3	4
19	Estonia	0	1	3	4
22	Germany	0	1	1	2
22	Colombia	0	1	1	2
24	Israel	0	1	0	1
25	Greece	0	0	2	2
25	Spain	0	0	2	2
27	Czech Republic	0	0	1	1
27	Indonesia	0	0	1	1
27	Iran	0	0	1	1
27	Jordan	0	0	1	1
27	United States	0	0	1	1
27	Turkmenistan	0	0	1	1
27	South Korea	0	0	1	1
27	Slovenia	0	0	1	1
Total	Total	245	111	207	425
