year	opus	town	kind	manuals	stops
1972	76	Eugene	NB	IV/P	38
1966-73	79	Ochtersum (D)	R	I/p	9
1972-75, 1993/94	81	Stade (D)	R	III/P	42
1974	83	Taizé (F)	NB	III/P	28
1975	84	Hamburg (D)	NB	II/P	18
1975	90	Frankfurt am Main (D)	NB	II/P	18
1975	92	Sloten (NL)	R	II/p	16
1977	97	Duderstadt (D)	NB	III/P	28
1978	98	Edinburgh (GB)	NB	II/P	21
1978	100	Joure (NL)	NB	III/P	27
1979	103	Melbourne (AUS)	NB	IV/P	45
1980	104	Leiden (NL)	R	II/P	24
1981	105	Toulouse (F)	NB	III/P	33
1982/99	107	Lüdingworth (D)	R	III/P	35
1978-83	108	Weener (D)	R	II/P	29
1976/77/83/84	111	Groningen	R	III/P	52
1985	115	Porrentruy (CH)	NB	II/P	30
1981-85	116	Norden (D)	R	III/P	46
1985	118	Stellichte (D)	Rc	II/p	12
1986	120	Tokyo (Japan)	NB	II/p	13
1986/2007	121/178	Kantens (NL)	R/Rc	II/p	15
1986/87	127	Wien (A)	R	III/P	40
1987-90	128	Stade (D)	R	III/P	40
1989	130	Tsukuba (Japan)	NB	II/P	19
1989	131	Wetzlar (D)	NB	II/P	22
1990	134	Milano (I)	NB	III/P	35
1991	135	Pilsum (D)	R	II/p	16
1991	138	Zwettl (A)	R	III/P	35
1990-93	139	Hamburg (D)	R	IV/P	60
1993	140	Payerne (CH)	Rk	II/P	22
1993/94	143	Trondheim (N)	R	II/P	30
1994/95	144	Osteel (D)	R	II/p	13
1995	145	München (D)	NB	II/P	17
1997	147	Landshut (D)	NB	II/P	15
1997	149	Tokyo (Japan)	NB	III/P	41
1997	150	Stuttgart (D)	NB	II/P	15
1998	151	Logabirum (D)	NB	I/P	10
1997/98	153	Dornum (D)	R	III/P	32
2000	157	Lübeck (D)	R	I/p	10
2000	158	Kongsberg (N)	R	III/P	42
2001	159	Trebel (D)	R	II/P	19
2002	160	Leer (D)	NB	III/P	39
2002	161	Köln (D)	NB	II/P	19
2002/03	162	Wilten (A)	R	I/P	4 (10)
2003/04	163	Altenbruch (D)	R	III/P	35
2004	165/183	Oldersum (D)	NB	II/P	16
2004	164	Hokksund (N)	NB	II/P	22
