Round	St Kilda Saints	Opposition	Their Score	Margin
1. (H)	6.15 (51)	Sydney	6.13 (49)	2
2. (H)	19.11 (125)	Carlton	12.13 (85)	40
3. (A)	13.9 (87)	Western	19.11 (125)	38
4. (H)	13.16 (94)	Geelong	21.10 (136)	42
5. (H)	18.15 (123)	Essendon	14.3 (87)	36
6. (A)	9.7 (61)	Port Adelaide	12.10 (82)	21
7. (A)	17.8 (110)	Richmond	16.11 (107)	3
8. (H)	14.10 (94)	Collingwood	16.7 (103)	9
9. (A)	14.11 (95)	Brisbane	21.15 (141)	46
10. (H)	19.15 (129)	Melbourne	7.8 (50)	79
11. (H)	11.13 (79)	Western	15.16 (106)	27
12. (A)	9.13 (67)	Sydney	14.18 (102)	35
13. (H)	10.5 (65)	Fremantle	8.9 (57)	8
14. (A)	12.12 (84)	North Melbourne	9.15 (69)	15
15. (A)	18.11 (119)	Carlton	12.15 (87)	32
16. (H)	18.11 (119)	Hawthorn	13.11 (89)	30
17. (A)	12.14 (86)	West Coast	15.13 (103)	17
18. (H)	14.17 (101)	Port Adelaide	14.9 (93)	8
19. (A)	12.11 (83)	Collingwood	14.13 (97)	14
20. (A)	17.10 (112)	Fremantle	9.15 (69)	43
21. (H)	13.17 (95)	Adelaide	6.11 (47)	48
22. (A)	21.21 (147)	Essendon	5.9 (39)	108
