Television service	Country	Language	Content	HDTV	Package/Option
Tivu Tivu	Italy	Italian	televendita	no	no ( FTA )
Hercules	Italy	Italian	televendita	no	no ( FTA )
Subacquea TV	Italy	Italian	televendita	no	no ( FTA )
Made in Italy	Italy	Italian	televendita	no	no ( FTA )
Las Televenta	Italy	Italian	televendita	no	no ( FTA )
New Generation TV	Italy	Italian	televendita	no	no ( FTA )
La 8	Italy	Italian	televendite	no	no ( FTA )
Viva l'Italia Channel	Italy	Italian	general television	no	no ( FTA )
Tiziana Sat	Italy	Italian	cartomanzia	no	no ( FTA )
Studio Europa	Italy	Italian	cartomanzia	no	no ( FTA )
In Tv	Italy	Italian	televendita	no	no ( FTA )
Pianeta TV	Italy	Italian	general television	no	no ( FTA )
MyTivi	Italy	Italian	televendita	no	no ( FTA )
ContoTV	Italy	Italian	promo	no	no ( FTA )
Betting Channel	Italy	Italian	scommesse	no	no ( FTA )
Roma Sat	Italy	Italian	tv locale	no	no ( FTA )
Lunasat	Italy	Italian	televendita	no	no ( FTA )
Dance TV	Italy	Italian	televendita	no	no ( FTA )
Arte Oggi TV	Italy	Italian	televendita	no	no ( FTA )
Free Channel	Italy	Italian	tv locale	no	no ( FTA )
Music Life	Italy	Italian	music	no	no ( FTA )
M.Sat	Italy	Italian	televendita	no	no ( FTA )
Moonlightv	Italy	Italian	televendita	no	no ( FTA )
Taxi Channel	Italy	Italian	general television	no	no ( FTA )
Telemodena	Italy	Italian	tv locale	no	no ( FTA )
Starsat	Italy	Italian	tv locale	no	no ( FTA )
Video Sat	Italy	Italian	tv locale	no	no ( FTA )
Ciao	Italy	Italian	cartomanzia	no	no ( FTA )
Tele A	Italy	Italian	cartomanzia	no	no ( FTA )
Reality TV	Italy	Italian	televendita	no	no ( FTA )
Cassiopea	Italy	Italian	cartomanzia	no	no ( FTA )
3 Channel	Italy	Italian	intrattenimento	no	no ( FTA )
Shop Window TV	Italy	Italian	televendita	no	no ( FTA )
Tivu Tivu 2	Italy	Italian	televendita	no	no ( FTA )
La 9	Italy	Italian	televendita	no	no ( FTA )
ECQC	Italy	Italian	televendita	no	no ( FTA )
New Television	Italy	Italian	televendita	no	no ( FTA )
Mondo Shop	Italy	Italian	telvendita	no	no ( FTA )
Spy Tv	Italy	Italian	erotica	no	no ( FTA )
Italia Channel	Italy	Italian	televendita, cartomanzia, lotto	no	no ( FTA )
Canale Italia	Italy	Italian	general television	no	no ( FTA )
Motori TV	Italy	Italian	motori	no	no ( FTA )
TV7 Lombardia	Italy	Italian	tv locale	no	no ( FTA )
Diprè TV 2	Italy	Italian	arte	no	no ( FTA )
New One	Italy	Italian	erotica	no	no ( FTA )
Arte Channel	Italy	Italian	arte	no	no ( FTA )
Euroitaly Channel	Italy	Italian	tv locale	no	no ( FTA )
Napoli Mia	Italy	Italian	tv locale	no	no ( FTA )
MCL.TV	Italy	Italian	erotica	no	no ( FTA )
Jolly Sat	Italy	Italian	general television	no	no ( FTA )
Quore TV	Italy	Italian	televendita	no	no ( FTA )
Metro.Sat	Italy	Italian	intrattenimento	no	no ( FTA )
Lazio TV1	Italy	Italian	tv locale	no	no ( FTA )
Rete Oro	Italy	Italian	tv locale	no	no ( FTA )
Rolsat	Italy	Italian	general television	no	no ( FTA )
Nostradamus	Italy	Italian	cartomanzia	no	no ( FTA )
Napoli TLA	Italy	Italian	cartomanzia	no	no ( FTA )
Italy Italy	Italy	Italian	televendite	no	no ( FTA )
Telenord	Italy	Italian	tv locale	no	no ( FTA )
Telepiù Channel	Italy	Italian	general television	no	no ( FTA )
Italia Sat	Italy	Italian	erotica, promo	no	no ( FTA )
Telefortune Sat	Italy	Italian	cartomanzia, lotto	no	no ( FTA )
Mare TV	Italy	Italian	televendita	no	no ( FTA )
Italia Mia	Italy	Italian	tv locale	no	no ( FTA )
Challenger TV	Italy	Italian	general television	no	no ( FTA )
Super	Italy	Italian	erotica	no	no ( FTA )
Libera TV	Italy	Italian	general television	no	no ( FTA )
.BLU	Italy	Italian	tv locale	no	no ( FTA )
Tele A Più	Italy	Italian	cartomanzia	no	no ( FTA )
Numberone Channel	Italy	Italian	music	no	no ( FTA )
Carpe Diem	Italy	Italian	televendita	no	no ( FTA )
Diprè Art Channel	Italy	Italian	televendita	no	no ( FTA )
Wanted TV	Italy	Italian	televendita	no	no ( FTA )
Telelotto	Italy	Italian	lotto	no	no ( FTA )
Italia 8	Italy	Italian	tv locale	no	no ( FTA )
Fuego TV	Italy	Italian	erotica	no	no ( FTA )
Carisma TV	Italy	Italian	cartomanzia, lotto	no	no ( FTA )
Telecolor	Italy	Italian	tv locale	no	no ( FTA )
One	Italy	Italian	erotica	no	no ( FTA )
Eurotic TV	Italy	Italian	erotica	no	no ( FTA )
Diva Futura Channel	Italy	Italian	erotica	no	no ( FTA )
GDG Channel	Italy	Italian	televendita	no	no ( FTA )
