Date	Opponent	Score	Loss	Attendance	Record
August 1	@ Braves	9-0	James	32,238	61-49
August 2	@ Braves	4-2	Morton (2-5)	42,096	62-49
August 3	@ Braves	5-0	Sheets (10-5)	21,997	62-50
August 4	@ Reds	6-3	Parra (9-5)	24,706	62-51
August 5	@ Reds	8-1	Volquez (13-5)	24,739	63-51
August 6	@ Reds	6-3	Bailey (0-6)	26,602	64-51
August 8	Nationals	5-0	Balester (2-4)	43,209	65-51
August 9	Nationals	6-0	Redding (8-7)	42,974	66-51
August 10	Nationals	5-4	Ayala (1-8)	42,423	67-51
August 11	Nationals	7-1	Mock (0-3)	42,196	68-51
August 12	@ Padres	5-2	Baek (4-6)	28,373	69-51
August 13	@ Padres	7-1	Banks (3-5)	32,771	70-51
August 14	@ Padres	3-2	Sheets (11-6)	30,145	70-52
August 15	@ Dodgers	5-3	Parra (9-6)	44,547	70-53
August 16	@ Dodgers	4-3 (10)	Broxton (3-4)	52,889	71-53
August 17	@ Dodgers	7-5	Villanueva (4-6)	45,267	71-54
August 18	Astros	9-3	Wolf (8-11)	41,991	72-54
August 19	Astros	5-2	Sheets (11-7)	41,622	72-55
August 20	Astros	5-2	Rodríguez (7-6)	41,419	73-55
August 22	Pirates	10-4	Duke (4-12)	41,637	74-55
August 23	Pirates	6-3	Gorzelanny (6-8)	43,293	75-55
August 24	Pirates	4-3 (12)	Davis (1-4)	45,163	76-55
August 26	@ Cardinals	12-0	Wellemeyer (11-5)	41,121	77-55
August 27	@ Cardinals	5-3	Riske (1-2)	41,433	77-56
August 29	@ Pirates	3-1	Gorzelanny (6-9)	18,086	78-56
August 30	@ Pirates	11-3	Maholm (8-8)	21,931	79-56
August 31	@ Pirates	7-0	Karstens (2-4)	21,293	80-56
