Club	Champions	Final	Semis	Quarters	Round of 16	Series Played	Series Won	Series Lost	Series Won %
Los Angeles Galaxy	4	4	4	3	0	35	25	10	71.43%
D.C. United	4	1	2	3	0	22	16	6	72.73%
Houston Dynamo	2	4	1	2	0	16	12	4	75.00%
San Jose Earthquakes	2	0	1	5	0	13	7	6	53.85%
Chicago Fire	1	2	5	4	1	23	12	11	52.17%
Sporting Kansas City	1	1	4	5	0	19	9	10	47.37%
Colorado Rapids	1	1	3	6	0	19	9	10	47.37%
Columbus Crew	1	0	4	5	1	17	7	10	41.18%
Real Salt Lake	1	0	2	2	0	9	5	4	55.56%
New England Revolution	0	4	2	4	0	20	10	10	50.00%
FC Dallas	0	1	2	8	1	16	4	12	25.00%
New York Red Bulls	0	1	1	11	0	17	4	13	23.53%
Tampa Bay Mutiny	0	0	1	3	0	5	1	4	20.00%
Seattle Sounders FC	0	0	1	3	0	5	1	4	20.00%
Miami Fusion	0	0	1	2	0	4	1	3	25.00%
Chivas USA	0	0	0	4	0	4	0	4	00.00%
Philadelphia Union	0	0	0	1	0	1	0	1	00.00%
Vancouver Whitecaps FC	0	0	0	0	1	1	0	1	00.00%
Portland Timbers	0	0	0	0	0	0	0	0	00.00%
Toronto FC	0	0	0	0	0	0	0	0	00.00%
Montreal Impact	0	0	0	0	0	0	0	0	00.00%
