Date	Opponent	Location	Result	Attendance
09/08/1979	Appalachian State	Groves Stadium • Winston-Salem, NC	W 30-23	26,500
09/15/1979	at #12 Georgia	Sanford Stadium • Athens, GA	W 22-21	57,500
09/22/1979	East Carolina	Groves Stadium • Winston-Salem, NC	W 23-20	28,751
09/29/1979*	at #16 North Carolina State	Carter-Finley Stadium • Raleigh, NC	L 14-17	44,800
10/06/1979	at Virginia Tech	Lane Stadium • Blacksburg, VA	W 19-14	36,600
10/13/1979*	at #14 North Carolina	Kenan Memorial Stadium • Chapel Hill, NC	W 24-19	50,720
10/20/1979*	Maryland	Groves Stadium • Winston-Salem, NC	W 25-17	26,050
10/27/1979	#13 Auburn	Groves Stadium • Winston-Salem, NC	W 42-38	34,060
11/03/1979*	at Clemson	Memorial Stadium • Clemson, SC	L 0-31	59,000
11/10/1979*	Duke	Groves Stadium • Winston-Salem, NC	W 17-14	28,300
11/17/1979	at South Carolina	Williams-Brice Stadium • Columbia, SC	L 14-35	56,407
01/01/1980	LSU	Citrus Bowl • Orlando, FL (Tangerine Bowl)	L 10-34	38,666
