Rank	No.	Pos	Player	Premier League	FA Cup	League Cup	Champions League	Club World Cup	Total
1	8	MF	Steven Gerrard	10	4	1	7	1	23
2	9	FW	Djibril Cisse	9	2	0	6	0	19
3	15	FW	Peter Crouch	8	3	0	0	2	13
4	10	MF	Luis García	7	1	0	2	0	11
5	19	FW	Fernando Morientes	5	1	0	3	0	9
6	11	FW	Robbie Fowler	5	0	0	0	0	5
6	14	MF	Xabi Alonso	3	2	0	0	0	5
8	6	DF	John Arne Riise	1	3	0	0	0	4
9	7	MF	Harry Kewell	3	0	0	0	0	3
9	24	FW	Florent Sinama-Pongolle	0	2	0	1	0	3
11	4	DF	Sami Hyypia	1	1	0	0	0	2
11	30	MF	Boudewijn Zenden	2	0	0	0	0	2
13	23	DF	Jamie Carragher	0	0	0	1	0	1
13	28	DF	Stephen Warnock	1	0	0	0	0	1
