English	Latin	Proto-Italo-Western 1	Conservative Central Italian 1	Italian	Spanish	Catalan	Old French
one (fem.)	ūnam	ˈuna	una	una	una	una	une
door	portam	ˈpɔrta	pɔrta	porta	puerta	porta	porte
seven	septem	ˈsɛtte	sɛtte	sette	siete	set	set
sea	mare	ˈmare	mare	mare	mar	mar	mer
peace	pācem	ˈpatʃe	pace	pace	paz	pau	paiz
part	partem	ˈparte	parte	parte	parte	part	part
mother	mātrem	ˈmatre	matre	madre	madre	mare	meḍre
twenty	vīgintī	veˈenti	vinti	venti	veinte	vint	vint
four	quattuor	ˈkwattro	quattro	quattro	cuatro	quatre	quatre
eight	octō	ˈɔkto	ɔtto	otto	ocho	vuit	huit
when	quandō	ˈkwando	quando	quando	cuando	quan	quant
fourth	quartum	ˈkwartu	quartu	quarto	cuarto	quart	quart
one (masc.)	ūnum	ˈunu	unu	uno	uno	un	un
