2008/ 09	2009/ 10	2010/ 11	2011/ 12	2012/ 13
UR	84 He was an amateur.	UR	UR	80
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Non-Ranking	Non-Ranking	Non-Ranking	Non-Ranking	LQ
Not Held	Not Held	Not Held	LQ	LQ
LQ	WR	A	LQ	LQ
Not Held	Not Held	Not Held	Not Held	Not Held
Not Held	Not Held	Not Held	Not Held	2R
LQ	A	A	LQ	LQ
Not Held	Not Held	A	LQ	LQ
Not Held	Not Held	DNQ	DNQ	DNQ
Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments
Not Held	Not Held	A	A	1R
Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments
LQ	Not Held	Not Held	Not Held	Not Held
