Game	February	Opponent	Score	Record	Points
53	2	Pittsburgh Penguins	3–5	26–24–3	55
54	5	@ Washington Capitals	3–1	27–24–3	57
55	9	Edmonton Oilers	1–3	27–25–3	57
56	11	@ Toronto Maple Leafs	3–4	27–26–3	57
57	12	Vancouver Canucks	2–3	27–27–3	57
58	14	New York Rangers	3–1	28–27–3	59
59	16	Montreal Canadiens	4–7	28–28–3	59
60	18	@ New York Islanders	2–3	28–29–3	59
61	19	New York Islanders	5–4	29–29–3	61
62	22	@ New York Rangers	6–4	30–29–3	63
63	24	@ New Jersey Devils	6–2	31–29–3	65
64	27	Calgary Flames	3–6	31–30–3	65
