Municipality	Inhabitants	Mayor	Party	Election
Florence	370,702	Matteo Renzi	Democratic Party	2009
Prato	187,994	Roberto Cenni	The People of Freedom	2009
Livorno	161,084	Alessandro Cosimi	Democratic Party	2009
Arezzo	100,140	Giuseppe Fanfani	Democratic Party	2011
Pistoia	90,226	Samuele Bertinelli	Democratic Party	2012
Pisa	88,332	Marco Filippeschi	Democratic Party	2008
Lucca	84,928	Alessandro Tambellini	Democratic Party	2012
Grosseto	82,284	Emilio Bonifazi	Democratic Party	2011
Massa	71,006	Alessandro Volpi	Democratic Party	2013
Carrara	65,612	Angelo Zubbani	Italian Socialist Party	2012
Viareggio	64,564	Leonardo Betti	Democratic Party	2013
Siena	54,561	Bruno Valentini	Democratic Party	2013
Scandicci	50,304	Simone Gheri	Democratic Party	2009
