Member	Party	Electorate	State	Term in office
Hon Evan Adermann	National	Fisher	Qld	1972–1990
Rt Hon Doug Anthony	National	Richmond	NSW	1957–1984
John Armitage	ALP	Chifley	NSW	1961–1963, 1969–1983
Michael Baume	Liberal	Macarthur	NSW	1975–1983
Kim Beazley	ALP	Swan	WA	1980–2007
Jack Birney	Liberal	Phillip	NSW	1975–1983
Dr Neal Blewett	ALP	Bonython	SA	1977–1994
Hon Lionel Bowen	ALP	Kingsford-Smith	NSW	1969–1990
John Bourchier	Liberal	Bendigo	Vic	1972–1983
Jim Bradfield	Liberal	Barton	NSW	1975–1983
Ray Braithwaite	National	Dawson	Qld	1975–1996
Bob Brown	ALP	Hunter	NSW	1980–1998
John Brown	ALP	Parramatta	NSW	1977–1990
Neil Brown	Liberal	Diamond Valley	Vic	1969–1972, 1975–1991
Mel Bungey	Liberal	Canning	WA	1974–1983
Max Burr	Liberal	Wilmot	Tas	1975–1993
Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Donald Milner Cameron	Liberal	Fadden	Qld	1966–1990
Ewen Cameron	Liberal	Indi	Vic	1977–1993
Ian Cameron	National	Maranoa	Qld	1980–1990
Graeme Campbell	ALP	Kalgoorlie	WA	1980–1998
Jim Carlton	Liberal	Mackellar	NSW	1977–1994
Hon Dr Moss Cass	ALP	Maribyrnong	Vic	1969–1983
David Charles	ALP	Isaacs	Vic	1980–1990
Grant Chapman	Liberal	Kingston	SA	1975–1983
Joan Child	ALP	Henty	Vic	1974–1975, 1980–1990
Barry Cohen	ALP	Robertson	NSW	1969–1990
Peter Coleman 4	Liberal	Wentworth	NSW	1981–1987
David Connolly	Liberal	Bradfield	NSW	1974–1996
Bruce Cowan	National	Lyne	NSW	1980–1993
Manfred Cross	ALP	Brisbane	Qld	1961–1975, 1980–1990
Barry Cunningham	ALP	McMillan	Vic	1980–1990, 1993–1996
Elaine Darling	ALP	Lilley	Qld	1980–1993
Gordon Dean	Liberal	Herbert	Qld	1977–1983
John Dawkins	ALP	Fremantle	WA	1974–1975, 1977–1994
Hon Don Dobie	Liberal	Cook	NSW	1966–1972, 1975–1996
Peter Drummond	Liberal	Forrest	WA	1972–1987
Michael Duffy	ALP	Holt	Vic	1980–1996
Dr Harry Edwards	Liberal	Berowra	NSW	1972–1993
Hon Robert Ellicott 4	Liberal	Wentworth	NSW	1974–1981
Hon Dr Doug Everingham	ALP	Capricornia	Qld	1967–1975, 1977–1984
Peter Falconer	Liberal	Casey	Vic	1975–1983
Hon Wal Fife	Liberal	Farrer	NSW	1975–1993
Peter Fisher	National	Mallee	Vic	1972–1993
Rt Hon Malcolm Fraser	Liberal	Wannon	Vic	1955–1984
Ross Free	ALP	Macquarie	NSW	1980–1996
Ken Fry	ALP	Fraser	ACT	1974–1984
Hon Victor Garland 3	Liberal	Curtin	WA	1969–1981
Geoffrey Giles	Liberal	Wakefield	SA	1964–1983
Bruce Goodluck	Liberal	Franklin	Tas	1975–1993
Hon Ray Groom	Liberal	Braddon	Tas	1975–1984
Steele Hall 2	Liberal	Boothby	SA	1981–1996
Graham Harris	Liberal	Chisholm	Vic	1980–1983
Bob Hawke	ALP	Wills	Vic	1980–1992
Hon Bill Hayden	ALP	Oxley	Qld	1961–1988
Noel Hicks	National	Riverina	NSW	1980–1998
John Hodges	Liberal	Petrie	Qld	1974–1983, 1984–1987
Michael Hodgman	Liberal	Denison	Tas	1975–1987
Clyde Holding	ALP	Melbourne Ports	Vic	1977–1998
Hon John Howard	Liberal	Bennelong	NSW	1974–2007
Brian Howe	ALP	Batman	Vic	1977–1996
Ben Humphreys	ALP	Griffith	Qld	1977–1996
Hon Ralph Hunt	National	Gwydir	NSW	1969–1989
Chris Hurford	ALP	Adelaide	SA	1969–1988
John Hyde	Liberal	Moore	WA	1974–1983
Ted Innes	ALP	Melbourne	Vic	1972–1983
Ralph Jacobi	ALP	Hawker	SA	1969–1987
Alan Jarman	Liberal	Deakin	Vic	1966–1983
Dr Harry Jenkins	ALP	Scullin	Vic	1969–1985
Hon Les Johnson	ALP	Hughes	NSW	1955–1966, 1969–1984
Barry Jones	ALP	Lalor	Vic	1977–1998
Hon Charles Jones	ALP	Newcastle	NSW	1958–1983
David Jull	Liberal	Bowman	Qld	1975–1983, 1984–2007
Hon Bob Katter	National	Kennedy	Qld	1966–1990
Hon Paul Keating	ALP	Blaxland	NSW	1969–1996
Ros Kelly	ALP	Canberra	ACT	1980–1995
Lewis Kent	ALP	Hotham	Vic	1980–1990
John Kerin	ALP	Werriwa	NSW	1972–1975, 1978–1994
Hon Jim Killen	Liberal	Moreton	Qld	1955–1983
Dr Dick Klugman	ALP	Prospect	NSW	1969–1990
Bruce Lloyd	National	Murray	Vic	1971–1996
Stephen Lusher	National	Hume	NSW	1974–1984
Rt Hon Phillip Lynch 6	Liberal	Flinders	Vic	1966–1982
Hon Michael MacKellar	Liberal	Warringah	NSW	1969–1994
Sandy Mackenzie	National	Calare	NSW	1975–1983
Hon Ian Macphee	Liberal	Balaclava	Vic	1974–1990
Michael Maher 5	ALP	Lowe	NSW	1982–1987
Ross McLean	Liberal	Perth	WA	1975–1983
Hon John McLeay 2	Liberal	Boothby	SA	1966–1981
Leo McLeay	ALP	Grayndler	NSW	1979–2004
Leslie McMahon	ALP	Sydney	NSW	1975–1983
Rt Hon Sir William McMahon 5	Liberal	Lowe	NSW	1949–1981
Tom McVeigh	National	Darling Downs	Qld	1972–1988
John Mildren	ALP	Ballarat	Vic	1980–1990
Clarrie Millar	National	Wide Bay	Qld	1974–1990
Peter Milton	ALP	La Trobe	Vic	1980–1990
John Moore	Liberal	Ryan	Qld	1975–2001
