Year	Winner	Runners-up	Aggregate	1st leg	2nd leg
1956	Trinidad	Liga Central	4-2	2-1	2-1
1959	Fray Bentos	Villeta	7-1	3-0	4-1
1963	Colonia	Ypacaraí	3-3 [1]	0-1	3-2
1966	Tacuarembó	Coronel Oviedo	4-1	2-0	2-1
1978	Federación Misionera	Melo	4-0	1-0	3-0
1980	Federación Misionera	Tacuarembó	5-5, 3-2 p	2-1	3-4
1982	Maldonado	Villarrica	1-1, 4-3 p	1-0	0-1
1984	San Pedro	Rocha	4-3	1-3	3-0
1988	Paysandú	Paranaense	4-3	1-2	3-1
1990	Ypacaraí	Florida	2-1	1-0	1-1
1992	Liga del Sud	Minas	6-1	2-0	4-1
1994	Maldonado	Caaguazú	9-2	4-0	5-2
1996	Paranaense	Maldonado Interior	3-3 [2]	2-2	1-1
1998	Itauguá	Melo	4-3	1-1	3-2
2000	San José Liga Mayor	Carapeguá	2-2, 4-2 p	1-1	1-1
2002	Limpio	Durazno	5-4	5-4	0-0
2004	San José de los Arroyos	Durazno	4-3 [3]	0-2	4-1
2006	Pirayú	Maldonado Liga Mayor	3-3, 4-2 p	1-2	2-1
2008	Colonia Departamental	Caaguazú	4-2	3-1	1-1
2008	Liga Caacupeña	Artigas	3-1	1-1	2-0
