Judge	State	Born/Died	Active service	Chief Judge	Senior status	Appointed by	Reason for termination
Cornelius Holgate Hanford	WA	1849–1926	1890–1912	—	—	Harrison	resignation
George Donworth	WA	1861–1947	1909–1912	—	—	Taft	resignation
Edward E. Cushman	WA	1865–1944	1912–1939	—	1939–1944	Taft	death
Clinton Woodbury Howard	WA	1864–1937	1912–1913	—	—	Taft	not confirmed
Jeremiah Neterer	WA	1862–1943	1913–1933	—	1933–1943	Wilson	death
John Clyde Bowen	WA	1888–1978	1934–1961	—	1961–1978	F. Roosevelt	death
Lloyd Llewellyn Black	WA	1889–1950	1939–1950	—	—	F. Roosevelt	death
Charles Henry Leavy	WA	1884–1952	1942–1952	—	1952–1952	F. Roosevelt	death
William James Lindberg	WA	1904–1981	1951–1971	—	1971–1981	Truman	death
George Hugo Boldt	WA	1903–1984	1953–1971	—	1971–1984	Eisenhower	death
William Trulock Beeks	WA	1906–1988	1961–1973	—	1973–1988	Kennedy	death
William Nelson Goodwin	WA	1909–1975	1966–1975	—	—	Johnson	death
Morell Edward Sharp	WA	1920–1980	1971–1980	—	—	Nixon	death
Donald S. Voorhees	WA	1916–1989	1974–1986	—	1986–1989	Nixon	death
Jack Edward Tanner	WA	1919–2006	1978–1991	—	1991–2006	Carter	death
William Lee Dwyer	WA	1929–2002	1987–1998	—	1998–2002	Reagan	death
Franklin D. Burgess	WA	1935–2010	1994–2005	—	2005–2010	Clinton	death
