Peak	Absolute height (m)	Relative height (m)	Parent	Country
Mullach Coire Mhic Fhearchair	1019	595	Sgùrr Mòr	Scotland
Moel Siabod	872	595	Glyder Fawr	Wales
Ben Cleuch	721	595	Ben Vorlich	Scotland
Moruisg	928	594	Sgùrr a' Choire Ghlais	Scotland
Beinn Bhuidhe	948	592	Ben Lui	Scotland
Carn Dearg	945	590	Creag Meagaidh	Scotland
Tigra Mor	679	588	Clisham	Scotland
Moel Hebog	783	585	Snowdon	Wales
Cairnsmore of Carsphairn	797	582	Merrick	Scotland
Beinn Heasgarnich	1078	579	Ben Lawers	Scotland
Sgùrr a' Mhuilinn	879	576	Moruisg	Scotland
Stob Coire a' Chearcaill	771	575	Sgùrr Ghiubhsachain	Scotland
