Heat	Lane	Name	Nationality	Time
6	4	Federica Pellegrini	Italy	4:02.19
6	3	Rebecca Adlington	Great Britain	4:02.24
5	4	Katie Hoff	United States	4:03.71
5	6	Joanne Jackson	Great Britain	4:03.80
5	3	Bronte Barratt	Australia	4:04.16
5	5	Coralie Balmy	France	4:04.25
4	6	Camelia Potec	Romania	4:04.55
4	4	Laure Manaudou	France	4:04.93
4	5	Otylia Jędrzejczak	Poland	4:05.50
4	3	Linda Mackenzie	Australia	4:05.91
6	1	Stephanie Horner	Canada	4:07.45
5	2	Wendy Trott	South Africa	4:08.38
5	7	Lotte Friis	Denmark	4:08.47
6	5	Kate Ziegler	United States	4:09.59
6	7	Flavia Rigamonti	Switzerland	4:09.59
4	8	Jördis Steinegger	Austria	4:09.72
6	2	Melissa Corfe	South Africa	4:10.54
5	1	Gabriella Fagundez	Sweden	4:11.40
4	1	Savannah King	Canada	4:11.49
3	3	Susana Escobar	Mexico	4:11.99
3	5	Monique Ferreira	Brazil	4:12.21
4	7	Tan Miao	China	4:12.35
4	2	Erika Villaécija García	Spain	4:14.25
3	6	Hoi Shun Stephanie Au	Hong Kong	4:14.82
6	8	Jaana Ehmcke	Germany	4:15.15
5	8	Li Mo	China	4:15.50
3	2	Eleftheria Evgenia Efstathiou	Greece	4:15.78
3	4	Daria Belyakina	Russia	4:16.21
1	4	Boglárka Kapás	Hungary	4:16.22
3	1	Lynette Lim	Singapore	4:17.67
6	6	Ai Shibata	Japan	4:17.96
2	2	Yanel Pinto	Venezuela	4:18.09
2	1	Nataliya Khudyakova	Ukraine	4:18.34
3	7	Cecilia Biagioli	Argentina	4:19.85
2	7	Eva Lehtonen	Finland	4:20.07
2	3	Kristina Lennox-Silva	Puerto Rico	4:20.17
2	6	Lee Ji-Eun	South Korea	4:21.53
2	5	Khoo Cai Lin	Malaysia	4:23.37
2	4	Golda Marcus	El Salvador	4:23.50
3	8	Yang Chin-Kuei	Chinese Taipei	4:24.78
1	3	Shrone Austin	Seychelles	4:35.86
1	5	Natthanan Junkrajang	Thailand	DNS
