Game	Date	Opponent	Result	Vikings points	Opponents	Record	Attendance
1	Sept. 15	at Green Bay Packers	Win	32	17	1-0	56267
2	Sept. 22	at Detroit Lions	Win	7	6	2-0	49703
3	Sept. 29	Chicago Bears	Win	11	7	3-0	46217
4	Oct. 6	at Dallas Cowboys	Win	23	21	4-0	57847
5	Oct. 13	Houston Oilers	Win	51	10	5-0	48006
6	Oct. 20	Detroit Lions	Loss	16	20	5-1	47807
7	Oct. 27	New England Patriots	Loss	14	17	5-2	48177
8	Nov. 3	at Chicago Bears	Win	17	0	6-2	33343
9	Nov. 11	at St. Louis Cardinals	Win	28	24	7-2	50183
10	Nov. 17	Green Bay Packers	Loss	7	19	7-3	47924
11	Nov. 24	at Los Angeles Rams	Loss	17	20	7-4	90266
12	Dec. 1	New Orleans Saints	Win	29	9	8-4	44202
13	Dec. 7	Atlanta Falcons	Win	23	10	9-4	47105
