No.	Player	Club	Test career	Tests	Catches	Stumpings	Total dismissals
2	Errol Hunte	Trinidad and Tobago	1930	3	5	0	5
3	Ivan Barrow	Jamaica	1930–1939	11	17	5	22
4	Cyril Christiani	British Guiana	1935	4	6	1	7
8	Alfred Binns	Jamaica	1953–1956	5	14	3	17
9	Ralph Legall	Trinidad and Tobago	1953	4	8	1	9
10	Clifford McWatt	British Guiana	1954–1955	6	8	1	9
11	Clairmonte Depeiaza	Barbados	1955–1956	5	7	4	11
13	Gerry Alexander	Jamaica	1957–1961	25	85	5	90
14	Jackie Hendriks	Jamaica	1962–1969	20	42	5	47
15	Ivor Mendonca	Guyana	1962	2	8	2	10
16	David Allan	Barbados	1962–1966	5	15	3	18
18	Mike Findlay	Windward Islands	1969–1973	10	19	2	21
