Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
Jun 11	3-0	25-15	25-21	25-23	NA	NA	75 - 59
Jun 12	0-3	17-25	22-25	24-26	NA	NA	63 - 76
Jun 12	3-0	25-20	25-16	25-18	NA	NA	75 - 54
Jun 13	1-3	27-25	19-25	23-25	16-25	NA	85 - 100
Jun 18	3-0	25-20	25-21	25-14	NA	NA	75 - 55
Jun 19	0-3	21-25	14-25	25-27	NA	NA	60 - 77
Jun 19	3-1	25-17	25-17	24-26	25-23	NA	99 - 83
Jun 20	0-3	14-25	15-25	16-25	NA	NA	45 - 75
Jun 25	3-1	25-20	25-23	33-35	25-23	NA	108 - 101
Jun 26	0-3	16-25	23-25	20-25	NA	NA	59 - 75
Jun 26	3-0	25-21	26-24	25-19	NA	NA	76 - 64
Jun 27	3-1	26-24	21-25	29-27	25-23	NA	101 - 99
Jun 1	3-0	25-11	25-21	25-15	NA	NA	75 - 47
Jun 2	0-3	19-25	15-25	23-25	NA	NA	57 - 75
Jun 3	1-3	25-22	25-27	24-26	13-25	NA	87 - 100
Jun 3	3-0	25-15	25-12	25-18	NA	NA	75 - 45
Jun 8	3-2	25-18	25-18	27-29	23-25	15-10	115 - 100
Jun 9	1-3	25-18	17-25	18-25	25-27	NA	85 - 95
Jun 10	0-3	25-27	17-25	17-25	NA	NA	59 - 77
Jun 10	3-0	25-23	25-16	25-22	NA	NA	75 - 61
Jun 15	3-1	25-16	21-25	25-20	25-22	NA	96 - 83
Jun 16	3-1	27-25	26-24	23-25	25-20	NA	101 - 94
Jun 16	3-1	22-25	25-20	25-22	25-23	NA	97 - 90
Jun 17	3-0	25-23	25-18	25-12	NA	NA	75 - 53
