Name	Games	W-League	Finals	Goals	Years
Laura Alleway	18 (1)	18 (1)	0 (0)	0	2008 - 2009
Megan Archer	6 (4)	6 (4)	0 (0)	0	2008
Enza Barilla	21 (12)	20 (11)	1 (1)	1	2008 - "Present"
Louisa Bisby	12 (1)	11 (1)	1 (0)	1	2008, 2010 - "Present"
Ashley Brown	11 (1)	10 (5)	1 (0)	0	2010 - "Present"
Stephanie Catley	20 (1)	19 (1)	1 (0)	3	2009 - "Present"
Daniela Diggiammarco	10 (0)	10 (0)	0 (0)	1	2008
Kendall Fletcher	11 (0)	10 (0)	1 (0)	0	2010 - "Present"
Alisha Foote	7 (4)	7 (4)	0 (0)	0	2008
Caitlin Friend	12 (5)	11 (5)	1 (0)	3	2009 - "Present"
Katrina Gorry	9 (1)	9 (1)	0 (0)	2	2009
Sarah Groenewald	14 (5)	14 (5)	0 (0)	2	2008 - 2009
Monique Hansen-Kofoed	10 (0)	10 (0)	0 (0)	0	2009
Ursula Hughson	17 (8)	16 (8)	1 (0)	0	2008 - "Present"
Jessica Humble	1 (0)	1 (0)	0 (0)	0	2009
Sophie Hogben	8 (2)	8 (2)	0 (0)	0	2008
Amy Jackson	11 (0)	10 (0)	1 (0)	1	2010 - "Present"
Tal Karp	20 (1)	20 (1)	0 (0)	1	2008 - 2009
Gulcan Koca	3 (3)	3 (3)	0 (0)	0	2009 - "Present"
Selin Kuralay	11 (3)	11 (3)	0 (0)	3	2008 - 2009
Ella Mastrantonio	11 (0)	10 (0)	1 (0)	0	2010 - "Present"
Rita Mankowska	4 (2)	4 (2)	0 (0)	0	2010 - "Present"
Kara Mowbray	5 (0)	5 (0)	0 (0)	1	2009
Dianna Niceski	11 (9)	11 (9)	0 (0)	1	2008 - "Present"
Bronwyn Nutley	3 (3)	3 (3)	0 (0)	0	2008
Marlies Oostdam	29 (1)	28 (1)	1 (0)	2	2008 - "Present"
Vendrana Popovic	9 (0)	9 (0)	0 (0)	0	2009
Sarah Richardson	3 (2)	3 (2)	0 (0)	1	2008
Marika Ruyter-Hooley	31 (0)	30 (0)	1 (0)	1	2008 - "Present"
Julianne Sitch	8 (0)	8 (0)	0 (0)	1	2009
Stephanie Tanti	4 (4)	4 (4)	0 (0)	0	2008
Jodie Taylor	11 (2)	10 (1)	1 (1)	4	2010 - "Present"
Rebecca Tegg	10 (0)	10 (0)	0 (0)	1	2008
Katie Thorlakson	10 (2)	10 (2)	0 (0)	2	2009
Brittany Timko	9 (0)	9 (0)	0 (0)	2	2008
Snez Veljanovska	8 (4)	7 (3)	1 (1)	0	2010 - "Present"
