Rank	Mountain Peak	Province	Mountain Range	Location
1	Mount Logan	Yukon	Saint Elias Mountains	60.5758°N 140.3694°W
2	Fairweather Mountain ( Mount Fairweather )	British Columbia Alaska	Saint Elias Mountains	58.9064°N 137.5267°W
3	Mount Saint Elias	Yukon Alaska	Saint Elias Mountains	60.2931°N 140.9264°W
4	Mount Waddington	British Columbia	Coast Mountains	51.3736°N 125.2633°W
5	Mount Lucania	Yukon	Saint Elias Mountains	61.0233°N 140.4656°W
6	Monarch Mountain	British Columbia	Coast Mountains	51.8994°N 125.8758°W
7	Mount Robson	British Columbia	Canadian Rockies	53.1106°N 119.1564°W
8	Mount Sir Wilfrid Laurier	British Columbia	Columbia Mountains	52.8014°N 119.7317°W
9	Mount Vancouver	Yukon	Saint Elias Mountains	60.3361°N 139.6947°W
10	Mount Sir Sandford	British Columbia	Columbia Mountains	51.6567°N 117.8678°W
11	Barbeau Peak	Nunavut	Ellesmere Island	81.9083°N 75.0250°W
12	Skihist Mountain	British Columbia	Coast Mountains	50.1878°N 121.9033°W
13	Mount Hubbard	Yukon Alaska	Saint Elias Mountains	60.3192°N 139.0714°W
14	Mount Ratz	British Columbia	Coast Mountains	57.3931°N 132.3033°W
15	Mount Odin	British Columbia	Columbia Mountains	50.5517°N 118.1292°W
16	Mount Monashee	British Columbia	Columbia Mountains	52.3853°N 118.9399°W
17	Mount Columbia	Alberta British Columbia	Canadian Rockies	52.1475°N 117.4406°W
18	Mount Queen Bess	British Columbia	Coast Mountains	51.2714°N 124.5681°W
19	Mount Cook	Yukon Alaska	Saint Elias Mountains	60.1819°N 139.9808°W
20	Mount Cooper	British Columbia	Columbia Mountains	50.1797°N 117.1992°W
21	Ulysses Mountain	British Columbia	Muskwa Ranges	57.3464°N 124.0928°W
22	Wedge Mountain	British Columbia	Coast Mountains	50.1331°N 122.7933°W
23	Otter Mountain	British Columbia	Coast Mountains	56.0067°N 129.6928°W
24	Kwatna Peak	British Columbia	Coast Mountains	52.0706°N 126.9630°W
25	Outlook Peak	Nunavut	Axel Heiberg Island	79.7500°N 91.3833°W
26	Golden Hinde	British Columbia	Vancouver Island	49.6625°N 125.7469°W
27	Scud Peak	British Columbia	Coast Mountains	57.2412°N 131.1676°W
28	Keele Peak	Yukon	Mackenzie Mountains	63.4311°N 130.3236°W
29	Razorback Mountain	British Columbia	Coast Mountains	51.5906°N 124.6908°W
30	Mount Odin	Nunavut	Baffin Island	66.5500°N 65.4333°W
31	Mount Farnham	British Columbia	Columbia Mountains	50.4889°N 116.4869°W
32	Oscar Peak	British Columbia	Coast Mountains	54.9289°N 129.0594°W
33	Mount Assiniboine	Alberta British Columbia	Canadian Rockies	50.8697°N 115.6511°W
34	Mount Jancowski	British Columbia	Coast Mountains	56.3372°N 129.9819°W
35	Gladsheim Peak	British Columbia	Selkirk Mountains	49.7867°N 117.6272°W
36	Mount Dawson	British Columbia	Columbia Mountains	51.1517°N 117.4206°W
37	South Ellesmere Ice Cap High Point	Nunavut	Ellesmere Island	78.8007°N 79.5292°W
38	Mount Edith Cavell	Alberta	Canadian Rockies	52.6672°N 118.0567°W
39	Alsek Peak	Yukon	Saint Elias Mountains	60.0325°N 137.5915°W
40	Mount Valpy	British Columbia	Coast Mountains	54.2750°N 129.0567°W
41	Mount Cairnes	Yukon	Saint Elias Mountains	60.8683°N 138.2769°W
42	Chatsquot Mountain	British Columbia	Coast Mountains	53.1422°N 127.4772°W
43	Buckwell Peak	British Columbia Yukon	Saint Elias Mountains	59.4188°N 136.7653°W
44	Mount Priestley	British Columbia	Coast Mountains	55.2297°N 128.8758°W
45	Angilaaq Mountain	Nunavut	Bylot Island	73.2294°N 78.6233°W
46	Devon Ice Cap High Point	Nunavut	Devon Island	75.3429°N 82.6186°W
47	Mount Goodsir	British Columbia	Canadian Rockies	51.2067°N 116.4044°W
48	Sharks Teeth Peaks	British Columbia	Coast Mountains	53.0072°N 127.2403°W
49	Detour Peak	British Columbia Yukon	Saint Elias Mountains	59.8424°N 137.5856°W
50	Silvertip Mountain	British Columbia	Cascade Range	49.1631°N 121.2161°W
