Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winners	April 28, 1991	Bol , Yugoslavia WTA Tier V	Clay	Laura Golarsa	Sandra Cecchini Laura Garrone	W/O
Runners-up	February 14, 1993	Osaka , Japan WTA Tier III	Carpet (I)	Manuela Maleeva	Jana Novotná Larisa Neiland	1–6, 3–6
Runners-up	April 25, 1993	Barcelona , Spain WTA Tier II	Clay	Manuela Maleeva	Conchita Martínez Arantxa Sánchez Vicario	6–4, 1–6, 0–6
Winners	February 17, 2002	Antwerp , Belgium WTA Tier II	Carpet (I)	Patty Schnyder	Nathalie Dechy Meilen Tu	6–3, 6–7 (3–7) , 6–3
Runners-up	June 23, 2002	's-Hertogenbosch , Netherlands WTA Tier III	Grass	Bianka Lamade	Catherine Barclay Martina Müller	4–6, 5–7
Winners	March 30, 2003	Miami , USA WTA Tier I	Hard	Liezel Huber	Shinobu Asagoe Nana Miyagi	6–4, 3–6, 7–5
Winners	May 4, 2003	Warsaw , Poland WTA Tier II	Clay	Liezel Huber	Eleni Daniilidou Francesca Schiavone	3–6, 6–4, 6–2
Runners-up	January 10, 2004	Gold Coast , Australia WTA Tier III	Hard	Liezel Huber	Svetlana Kuznetsova Elena Likhovtseva	3–6, 4–6
Runners-up	February 8, 2004	Tokyo , Japan WTA Tier I	Carpet (I)	Elena Likhovtseva	Cara Black Rennae Stubbs	0–6, 1–6
Winners	January 8, 2005	Gold Coast , Australia WTA Tier III	Hard	Elena Likhovtseva	Maria Elena Camerin Silvia Farina Elia	6–3, 5–7, 6–1
