Rank	Nation	Gold	Silver	Bronze	Total
1	Great Britain	9	4	3	16
2	Germany	8	7	8	23
3	Russia	6	9	7	22
4	Poland	3	4	1	8
5	Romania	3	2	2	7
6	Ukraine	3	2	1	6
7	Italy	2	4	3	9
8	Portugal	2	3	1	6
9	Spain	2	1	4	7
10	France	2	1	1	4
11	Ireland	2	0	1	3
12	Hungary	1	1	0	2
13	Bulgaria	1	0	3	4
14	Greece	1	0	2	3
15	Estonia	1	0	0	1
16	Czech Republic	0	2	1	3
16	Finland	0	2	1	3
18	Switzerland	0	1	1	2
19	Latvia	0	1	0	1
19	Slovenia	0	1	0	1
19	Sweden	0	1	0	1
22	Belarus	0	0	2	2
23	Austria	0	0	1	1
23	Lithuania	0	0	1	1
23	Netherlands	0	0	1	1
23	Norway	0	0	1	1
26	Total	46	46	46	138
