Season	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
2000	Richard Vaughan	Kelly Morgan	Chris Rees Neil Cottrill	Jo Muggeridge Felicity Gallup	Richard Vaughan Kelly Morgan
2001	Richard Vaughan	Kelly Morgan	Chris Rees Neil Cottrill	Jo Muggeridge Felicity Gallup	Neil Cottrill Jo Muggeridge
2002	Richard Vaughan	Kelly Morgan	Chris Rees Neil Cottrill	Jo Muggeridge Felicity Gallup	Neil Cottrill Jo Muggeridge
2003	Irwansyah	Kelly Morgan	Matthew Hughes Martyn Lewis	Jo Muggeridge Felicity Gallup	Matthew Hughes Jo Muggeridge
2004	Irwansyah	Kelly Morgan	Chris Rees Irwansyah	Jo Muggeridge Felicity Gallup	Matthew Hughes Jo Muggeridge
2005	Paul Le Tocq	Harriett Johnson	Matthew Hughes Martyn Lewis	Robyn Ashworth Harriett Johnson	Matthew Hughes Jo Muggeridge
2006	Martyn Lewis	Harriett Johnson	Martyn Lewis Matthew Hughes	Jo Muggeridge Rachele Phillips	Paul Le Tocq Kate Ridler
2007	Raj Popat	Rachele Phillips	Martyn Lewis Matthew Hughes	Jo Muggeridge Rachele Phillips	Matthew Sprake Jo Muggeridge
2008	Martyn Lewis	Caroline Harvey	Martyn Lewis Matthew Hughes	Vikki Jones Nicole Walkley	James Phillips Katy Howell
2009	Jamie van Hooijdonk	Sarah Thomas	Martyn Lewis Matthew Hughes	Kerry Ann Sheppard Caroline Harvey	Martyn Lewis Vikki Jones
2010	Irwansyah	Sarah Thomas	James Phillips Joe Morgan	Caroline Harvey Carissa Turner	Richard Vaughan Sarah Thomas
