Place	Player	Country	Score	To par	Money ( $ )
1	Andy North	United States	70-65-70-74=279	–1	103,000
T2	Dave Barr	Canada	70-68-70-72=280	E	39,185
T2	Tze-Chung Chen	Taiwan	65-69-69-77=280	E	39,185
T2	Denis Watson	Zimbabwe	72-65-73-70=280	E	39,185
T5	Seve Ballesteros	Spain	71-70-69-71=281	+1	18,458
T5	Payne Stewart	United States	70-70-71-70=281	+1	18,458
T5	Lanny Wadkins	United States	70-72-69-70=281	+1	18,458
8	Johnny Miller	United States	74-71-68-69=282	+2	14,921
T9	Rick Fehr	United States	69-67-73-74=283	+3	12,439
T9	Corey Pavin	United States	72-68-73-70=283	+3	12,439
T9	Jack Renner	United States	72-69-72-70=283	+3	12,439
T9	Fuzzy Zoeller	United States	71-69-72-71=283	+3	12,439
